"",BBK01.OELI06U,BBK01.OELI06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:02,
2002-01,0.510,
2002-04,0.517,
2002-07,0.517,
2002-10,0.495,
2003-01,0.467,
2003-04,0.456,
2003-07,0.443,
2003-10,0.464,
2004-01,0.456,
2004-04,0.450,
2004-07,0.443,
2004-10,0.446,
2005-01,0.432,
2005-04,0.418,
2005-07,0.417,
2005-10,0.409,
2006-01,0.411,
2006-04,0.410,
2006-07,0.415,
2006-10,0.404,
2007-01,0.418,
2007-04,0.437,
2007-07,0.461,
2007-10,0.463,
2008-01,0.468,
2008-04,0.484,
2008-07,0.513,
2008-10,0.538,
2009-01,0.493,
2009-04,0.450,
2009-07,0.402,
2009-10,0.348,
2010-01,0.325,
2010-04,0.319,
2010-07,0.311,
2010-10,0.314,
2011-01,0.324,
2011-04,0.334,
2011-07,0.341,
2011-10,0.342,
2012-01,0.324,
2012-04,0.316,
2012-07,0.300,
2012-10,0.279,
2013-01,0.318,
2013-04,0.295,
2013-07,0.286,
2013-10,0.281,
2014-01,0.272,
2014-04,0.264,
2014-07,0.250,
