"",BBK01.CELJ0L,BBK01.CELJ0L_FLAGS
"",Unlisted Shares debtor: Total            creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:44,
1999-01,0.2,
1999-04,0.1,
1999-07,0.2,
1999-10,0.3,
2000-01,0.3,
2000-04,0.3,
2000-07,0.3,
2000-10,-0.4,
2001-01,0.6,
2001-04,0.3,
2001-07,0.9,
2001-10,-1.2,
2002-01,1.2,
2002-04,0.1,
2002-07,0.0,
2002-10,-1.4,
2003-01,0.0,
2003-04,0.1,
2003-07,0.1,
2003-10,0.0,
2004-01,-0.1,
2004-04,-0.3,
2004-07,0.1,
2004-10,-0.2,
2005-01,0.1,
2005-04,-0.1,
2005-07,1.1,
2005-10,-1.1,
2006-01,-0.8,
2006-04,0.4,
2006-07,0.4,
2006-10,0.5,
2007-01,-1.5,
2007-04,0.1,
2007-07,-0.5,
2007-10,1.5,
2008-01,-0.5,
2008-04,-0.9,
2008-07,-0.3,
2008-10,-1.8,
2009-01,0.5,
2009-04,0.1,
2009-07,-0.2,
2009-10,0.4,
2010-01,0.1,
2010-04,0.3,
2010-07,0.0,
2010-10,0.1,
2011-01,0.0,
2011-04,0.5,
2011-07,-0.4,
2011-10,0.4,
2012-01,0.3,
2012-04,0.2,
2012-07,0.6,
2012-10,0.4,
2013-01,-0.1,
2013-04,0.2,
2013-07,0.3,
2013-10,0.1,
2014-01,0.4,
2014-04,0.1,
2014-07,0.2,
