"",BBK01.CEBQ0X,BBK01.CEBQ0X_FLAGS
"",short-term time deposits debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:14,
1991-01,16.5,
1991-04,16.2,
1991-07,12.4,
1991-10,10.6,
1992-01,14.0,
1992-04,12.0,
1992-07,11.8,
1992-10,13.0,
1993-01,18.4,
1993-04,20.9,
1993-07,22.3,
1993-10,23.8,
1994-01,26.0,
1994-04,23.7,
1994-07,27.0,
1994-10,22.1,
1995-01,25.7,
1995-04,26.8,
1995-07,24.3,
1995-10,22.2,
1996-01,30.6,
1996-04,32.2,
1996-07,30.1,
1996-10,24.6,
1997-01,33.6,
1997-04,30.0,
1997-07,25.2,
1997-10,21.9,
1998-01,32.9,
1998-04,30.4,
1998-07,31.8,
1998-10,22.6,
1999-01,24.4,
1999-04,19.4,
1999-07,20.5,
1999-10,18.4,
2000-01,23.7,
2000-04,17.2,
2000-07,22.0,
2000-10,19.1,
2001-01,23.4,
2001-04,22.5,
2001-07,26.5,
2001-10,27.2,
2002-01,40.4,
2002-04,42.1,
2002-07,44.1,
2002-10,26.9,
2003-01,39.1,
2003-04,45.6,
2003-07,52.5,
2003-10,47.6,
2004-01,53.4,
2004-04,47.7,
2004-07,47.1,
2004-10,50.5,
2005-01,61.2,
2005-04,54.9,
2005-07,63.5,
2005-10,55.7,
2006-01,70.1,
2006-04,65.6,
2006-07,79.1,
2006-10,59.2,
2007-01,84.1,
2007-04,82.7,
2007-07,80.1,
2007-10,91.6,
2008-01,124.8,
2008-04,117.7,
2008-07,149.9,
2008-10,143.9,
2009-01,168.2,
2009-04,172.5,
2009-07,156.0,
2009-10,168.0,
2010-01,153.8,
2010-04,179.6,
2010-07,184.8,
2010-10,173.3,
2011-01,176.3,
2011-04,225.9,
2011-07,281.3,
2011-10,251.7,
2012-01,254.0,
2012-04,301.8,
2012-07,303.4,
2012-10,260.6,
2013-01,303.8,
2013-04,333.5,
2013-07,125.6,
2013-10,121.1,
2014-01,144.0,
