"",BBK01.OELM04O,BBK01.OELM04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:47,
2002-01,0.123,
2002-04,0.160,
2002-07,0.156,
2002-10,0.147,
2003-01,0.126,
2003-04,0.151,
2003-07,0.151,
2003-10,0.168,
2004-01,0.129,
2004-04,0.165,
2004-07,0.154,
2004-10,0.176,
2005-01,0.161,
2005-04,0.154,
2005-07,0.124,
2005-10,0.190,
2006-01,0.201,
2006-04,0.254,
2006-07,0.267,
2006-10,0.297,
2007-01,0.294,
2007-04,0.364,
2007-07,0.315,
2007-10,0.284,
2008-01,0.302,
2008-04,0.356,
2008-07,0.300,
2008-10,0.287,
2009-01,0.217,
2009-04,0.323,
2009-07,0.323,
2009-10,0.220,
2010-01,0.162,
2010-04,0.146,
2010-07,0.176,
2010-10,0.186,
2011-01,0.151,
2011-04,0.157,
2011-07,0.177,
2011-10,0.166,
2012-01,0.128,
2012-04,0.108,
2012-07,0.118,
2012-10,0.127,
2013-01,0.123,
2013-04,0.174,
2013-07,0.183,
2013-10,0.092,
2014-01,0.218,
2014-04,0.314,
2014-07,0.424,
