"",BBK01.OEAJ10K,BBK01.OEAJ10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:57,
2002-01,0.136,
2002-04,0.135,
2002-07,0.133,
2002-10,0.132,
2003-01,0.130,
2003-04,0.090,
2003-07,0.097,
2003-10,0.092,
2004-01,0.090,
2004-04,0.137,
2004-07,0.133,
2004-10,0.130,
2005-01,0.123,
2005-04,0.120,
2005-07,0.115,
2005-10,0.113,
2006-01,0.112,
2006-04,0.249,
2006-07,0.254,
2006-10,0.249,
2007-01,0.163,
2007-04,0.155,
2007-07,0.144,
2007-10,0.124,
2008-01,0.116,
2008-04,0.111,
2008-07,0.105,
2008-10,0.099,
2009-01,0.112,
2009-04,0.104,
2009-07,0.160,
2009-10,0.155,
2010-01,0.151,
2010-04,0.144,
2010-07,0.141,
2010-10,0.132,
2011-01,0.125,
2011-04,0.096,
2011-07,0.092,
2011-10,0.108,
2012-01,0.103,
2012-04,0.076,
2012-07,0.063,
2012-10,0.062,
2013-01,0.062,
2013-04,0.106,
2013-07,0.092,
2013-10,0.088,
2014-01,0.080,
2014-04,0.080,
2014-07,0.084,
