"",BBK01.OEAH75Q,BBK01.OEAH75Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:24,
2002-01,0.668,
2002-04,0.662,
2002-07,0.499,
2002-10,0.621,
2003-01,0.501,
2003-04,0.510,
2003-07,0.495,
2003-10,0.510,
2004-01,0.472,
2004-04,0.479,
2004-07,0.479,
2004-10,0.556,
2005-01,0.561,
2005-04,0.572,
2005-07,0.556,
2005-10,0.559,
2006-01,0.559,
2006-04,0.617,
2006-07,0.608,
2006-10,0.627,
2007-01,0.619,
2007-04,0.748,
2007-07,0.792,
2007-10,0.819,
2008-01,0.808,
2008-04,0.845,
2008-07,0.699,
2008-10,0.694,
2009-01,0.761,
2009-04,0.660,
2009-07,0.636,
2009-10,0.667,
2010-01,0.655,
2010-04,0.682,
2010-07,0.692,
2010-10,0.809,
2011-01,0.778,
2011-04,0.797,
2011-07,0.818,
2011-10,0.934,
2012-01,0.928,
2012-04,1.426,
2012-07,1.446,
2012-10,1.361,
2013-01,1.461,
2013-04,2.231,
2013-07,2.280,
2013-10,2.517,
2014-01,2.682,
2014-04,2.812,
2014-07,2.882,
