"",BBFB1.Q.N.DE.S1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:27,
1991-01,337.770,
1991-04,354.614,
1991-07,376.696,
1991-10,303.489,
1992-01,331.101,
1992-04,306.884,
1992-07,319.349,
1992-10,346.066,
1993-01,672.844,
1993-04,630.943,
1993-07,680.342,
1993-10,700.749,
1994-01,646.630,
1994-04,619.720,
1994-07,627.379,
1994-10,654.998,
1995-01,860.146,
1995-04,831.634,
1995-07,842.114,
1995-10,885.648,
1996-01,570.073,
1996-04,577.558,
1996-07,585.052,
1996-10,605.345,
1997-01,450.531,
1997-04,474.009,
1997-07,488.472,
1997-10,469.230,
1998-01,636.783,
1998-04,625.667,
1998-07,690.082,
1998-10,701.427,
1999-01,681.347,
1999-04,736.301,
1999-07,759.500,
1999-10,807.917,
2000-01,370.122,
2000-04,376.091,
2000-07,419.416,
2000-10,432.805,
2001-01,659.237,
2001-04,731.682,
2001-07,815.417,
2001-10,880.936,
2002-01,611.693,
2002-04,654.145,
2002-07,649.375,
2002-10,641.923,
2003-01,721.093,
2003-04,700.550,
2003-07,1022.717,
2003-10,709.647,
2004-01,726.927,
2004-04,680.313,
2004-07,832.991,
2004-10,676.915,
2005-01,735.508,
2005-04,690.605,
2005-07,731.706,
2005-10,754.696,
2006-01,1249.351,
2006-04,1274.119,
2006-07,1476.627,
2006-10,1626.863,
2007-01,1304.954,
2007-04,1287.504,
2007-07,1231.884,
2007-10,1164.274,
2008-01,1294.260,
2008-04,1221.393,
2008-07,1346.126,
2008-10,1597.889,
2009-01,1351.016,
2009-04,1085.152,
2009-07,1138.392,
2009-10,1167.347,
2010-01,1268.949,
2010-04,1541.565,
2010-07,1659.235,
2010-10,1676.545,
2011-01,1021.452,
2011-04,950.302,
2011-07,929.869,
2011-10,1103.745,
2012-01,728.756,
2012-04,843.010,
2012-07,899.908,
2012-10,815.607,
2013-01,1511.216,
2013-04,1575.406,
2013-07,1556.660,
2013-10,1709.367,
2014-01,951.417,Provisional value
2014-04,1206.263,Provisional value
2014-07,1061.900,Provisional value
