"",BBK01.OEXL06T,BBK01.OEXL06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:24,
2002-01,0.035,
2002-04,0.035,
2002-07,0.032,
2002-10,0.031,
2003-01,0.033,
2003-04,0.031,
2003-07,0.030,
2003-10,0.030,
2004-01,0.037,
2004-04,0.038,
2004-07,0.037,
2004-10,0.032,
2005-01,0.039,
2005-04,0.039,
2005-07,0.038,
2005-10,0.039,
2006-01,0.037,
2006-04,0.040,
2006-07,0.046,
2006-10,0.048,
2007-01,0.051,
2007-04,0.053,
2007-07,0.056,
2007-10,0.064,
2008-01,0.072,
2008-04,0.081,
2008-07,0.085,
2008-10,0.093,
2009-01,0.101,
2009-04,0.088,
2009-07,0.080,
2009-10,0.074,
2010-01,0.086,
2010-04,0.108,
2010-07,0.119,
2010-10,0.126,
2011-01,0.142,
2011-04,0.154,
2011-07,0.166,
2011-10,0.199,
2012-01,0.196,
2012-04,0.201,
2012-07,0.199,
2012-10,0.188,
2013-01,0.166,
2013-04,0.142,
2013-07,0.138,
2013-10,0.137,
2014-01,0.134,
2014-04,0.126,
2014-07,0.115,
