"",BBK01.QUV544,BBK01.QUV544_FLAGS
"",Banks in Germany: Short-term loans and advances to non- residents / Romania / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:13:09,
2001-12,0.080,
2002-01,0.051,
2002-02,0.034,
2002-03,0.038,
2002-04,0.036,
2002-05,0.040,
2002-06,0.088,
2002-07,0.057,
2002-08,0.052,
2002-09,0.046,
2002-10,0.039,
2002-11,0.037,
2002-12,0.034,
2003-01,0.037,
2003-02,0.036,
2003-03,0.036,
2003-04,0.042,
2003-05,0.040,
2003-06,0.035,
2003-07,0.037,
2003-08,0.045,
2003-09,0.043,
2003-10,0.033,
2003-11,0.051,
2003-12,0.050,
2004-01,0.048,
2004-02,0.046,
2004-03,0.044,
2004-04,0.050,
2004-05,0.051,
2004-06,0.067,
2004-07,0.083,
2004-08,0.073,
2004-09,0.056,
2004-10,0.072,
2004-11,0.066,
2004-12,0.059,
2005-01,0.056,
2005-02,0.059,
2005-03,0.094,
2005-04,0.082,
2005-05,0.072,
2005-06,0.088,
2005-07,0.134,
2005-08,0.121,
2005-09,0.156,
2005-10,0.153,
2005-11,0.130,
2005-12,0.137,
2006-01,0.130,
2006-02,0.137,
2006-03,0.137,
2006-04,0.156,
2006-05,0.236,
2006-06,0.206,
2006-07,0.160,
2006-08,0.247,
2006-09,0.208,
2006-10,0.234,
2006-11,0.236,
2006-12,0.277,
2007-01,0.165,
2007-02,0.187,
2007-03,0.201,
2007-04,0.283,
2007-05,0.251,
2007-06,0.235,
2007-07,0.243,
2007-08,0.292,
2007-09,0.286,
2007-10,0.298,
2007-11,0.309,
2007-12,0.297,
2008-01,0.328,
2008-02,0.335,
2008-03,0.322,
2008-04,0.328,
2008-05,0.358,
2008-06,0.358,
2008-07,0.440,
2008-08,0.462,
2008-09,0.489,
2008-10,0.376,
2008-11,0.349,
2008-12,0.256,
2009-01,0.259,
2009-02,0.262,
2009-03,0.264,
2009-04,0.256,
2009-05,0.267,
2009-06,0.244,
2009-07,0.218,
2009-08,0.247,
2009-09,0.212,
2009-10,0.227,
2009-11,0.224,
2009-12,0.275,
2010-01,0.263,
2010-02,0.180,
2010-03,0.161,
2010-04,0.168,
2010-05,0.130,
2010-06,0.172,
2010-07,0.111,
2010-08,0.156,
2010-09,0.126,
2010-10,0.158,
2010-11,0.089,
2010-12,0.093,
2011-01,0.134,
2011-02,0.157,
2011-03,0.105,
2011-04,0.105,
2011-05,0.133,
2011-06,0.188,
2011-07,0.142,
2011-08,0.133,
2011-09,0.205,
2011-10,0.173,
2011-11,0.195,
2011-12,0.310,
2012-01,0.207,
2012-02,0.117,
2012-03,0.141,
2012-04,0.100,
2012-05,0.111,
2012-06,0.143,
2012-07,0.127,
2012-08,0.078,
2012-09,0.119,
2012-10,0.132,
2012-11,0.148,
2012-12,0.152,
2013-01,0.118,
2013-02,0.130,
2013-03,0.136,
2013-04,0.179,
2013-05,0.121,
2013-06,0.174,
2013-07,0.158,
2013-08,0.146,
2013-09,0.150,
2013-10,0.188,
2013-11,0.214,
2013-12,0.266,
2014-01,0.243,
2014-02,0.225,
2014-03,0.258,
2014-04,0.246,
2014-05,0.252,
2014-06,0.295,
2014-07,0.279,
2014-08,0.277,
2014-09,0.243,
2014-10,0.240,
2014-11,0.299,
2014-12,0.282,
