"",BBK01.OEAH74S,BBK01.OEAH74S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:32,
2002-01,0.857,
2002-04,0.792,
2002-07,0.742,
2002-10,0.657,
2003-01,0.573,
2003-04,0.535,
2003-07,0.508,
2003-10,0.439,
2004-01,0.382,
2004-04,0.412,
2004-07,0.441,
2004-10,0.416,
2005-01,0.447,
2005-04,0.550,
2005-07,0.512,
2005-10,0.466,
2006-01,0.487,
2006-04,0.544,
2006-07,0.613,
2006-10,0.481,
2007-01,0.615,
2007-04,0.740,
2007-07,0.822,
2007-10,0.806,
2008-01,0.881,
2008-04,0.942,
2008-07,1.032,
2008-10,0.877,
2009-01,0.830,
2009-04,0.544,
2009-07,0.555,
2009-10,0.441,
2010-01,0.354,
2010-04,0.421,
2010-07,0.580,
2010-10,0.412,
2011-01,0.475,
2011-04,0.485,
2011-07,0.506,
2011-10,0.747,
2012-01,0.877,
2012-04,0.946,
2012-07,1.009,
2012-10,0.976,
2013-01,0.942,
2013-04,0.978,
2013-07,0.906,
2013-10,0.901,
2014-01,0.875,
2014-04,0.842,
2014-07,0.768,
