"",BBK01.OEAH35T,BBK01.OEAH35T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:51,
2002-01,0.045,
2002-04,0.041,
2002-07,0.041,
2002-10,0.039,
2003-01,0.049,
2003-04,0.042,
2003-07,0.042,
2003-10,0.066,
2004-01,0.054,
2004-04,0.063,
2004-07,0.064,
2004-10,0.059,
2005-01,0.060,
2005-04,0.056,
2005-07,0.063,
2005-10,0.063,
2006-01,0.063,
2006-04,0.086,
2006-07,0.091,
2006-10,0.135,
2007-01,0.176,
2007-04,0.151,
2007-07,0.149,
2007-10,0.145,
2008-01,0.146,
2008-04,0.158,
2008-07,0.163,
2008-10,0.169,
2009-01,0.181,
2009-04,0.098,
2009-07,0.111,
2009-10,0.101,
2010-01,0.100,
2010-04,0.099,
2010-07,0.113,
2010-10,0.110,
2011-01,0.125,
2011-04,0.131,
2011-07,0.128,
2011-10,0.140,
2012-01,0.161,
2012-04,0.162,
2012-07,0.152,
2012-10,0.172,
2013-01,0.193,
2013-04,0.201,
2013-07,0.194,
2013-10,0.187,
2014-01,0.222,
2014-04,0.288,
2014-07,0.284,
