"",BBK01.OEAM02J,BBK01.OEAM02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:17,
2002-01,0.067,
2002-04,0.059,
2002-07,0.062,
2002-10,0.063,
2003-01,0.068,
2003-04,0.091,
2003-07,0.062,
2003-10,0.068,
2004-01,0.061,
2004-04,0.104,
2004-07,0.106,
2004-10,0.119,
2005-01,0.090,
2005-04,0.102,
2005-07,0.120,
2005-10,0.096,
2006-01,0.156,
2006-04,0.331,
2006-07,0.158,
2006-10,0.258,
2007-01,0.145,
2007-04,0.142,
2007-07,0.544,
2007-10,0.179,
2008-01,0.315,
2008-04,0.372,
2008-07,0.870,
2008-10,0.738,
2009-01,0.559,
2009-04,0.687,
2009-07,0.176,
2009-10,0.179,
2010-01,0.166,
2010-04,0.501,
2010-07,0.175,
2010-10,0.242,
2011-01,0.517,
2011-04,0.663,
2011-07,0.371,
2011-10,0.176,
2012-01,0.206,
2012-04,0.612,
2012-07,0.517,
2012-10,0.416,
2013-01,0.177,
2013-04,0.414,
2013-07,0.456,
2013-10,0.197,
2014-01,0.162,
2014-04,0.141,
2014-07,0.176,
