"",BBFB1.Q.N.DE.US.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:45,
1991-01,-7.292,
1991-04,43.504,
1991-07,61.231,
1991-10,-25.615,
1992-01,-814.725,
1992-04,-815.341,
1992-07,-810.265,
1992-10,-1292.294,
1993-01,-257.399,
1993-04,-249.232,
1993-07,-269.338,
1993-10,-254.943,
1994-01,193.717,
1994-04,194.560,
1994-07,181.691,
1994-10,149.481,
1995-01,34.873,
1995-04,32.697,
1995-07,30.768,
1995-10,10.712,
1996-01,-388.407,
1996-04,-385.442,
1996-07,-389.633,
1996-10,-434.019,
1997-01,25.979,
1997-04,2.196,
1997-07,26.161,
1997-10,-9.267,
1998-01,-30.516,
1998-04,-26.726,
1998-07,-330.872,
1998-10,-40.912,
1999-01,-591.588,
1999-04,-597.240,
1999-07,-622.650,
1999-10,-605.000,
2000-01,231.710,
2000-04,231.276,
2000-07,232.883,
2000-10,212.071,
2001-01,-41.762,
2001-04,-651.111,
2001-07,56.812,
2001-10,-783.254,
2002-01,48.795,
2002-04,264.723,
2002-07,174.775,
2002-10,-49.730,
2003-01,270.826,
2003-04,-268.911,
2003-07,352.236,
2003-10,371.738,
2004-01,-1518.314,
2004-04,-1948.835,
2004-07,-1625.313,
2004-10,-1662.720,
2005-01,-1062.650,
2005-04,-433.061,
2005-07,132.005,
2005-10,-444.044,
2006-01,448.168,
2006-04,-516.581,
2006-07,456.664,
2006-10,461.197,
2007-01,733.351,
2007-04,592.348,
2007-07,256.294,
2007-10,-303.840,
2008-01,3539.623,
2008-04,-2423.701,
2008-07,-3994.560,
2008-10,-1654.952,
2009-01,-121.283,
2009-04,-74.195,
2009-07,252.785,
2009-10,648.140,
2010-01,333.307,
2010-04,86.601,
2010-07,405.434,
2010-10,-100.143,
2011-01,619.647,
2011-04,32.288,
2011-07,637.587,
2011-10,269.593,
2012-01,695.582,
2012-04,683.364,
2012-07,739.564,
2012-10,513.493,
2013-01,720.114,
2013-04,857.361,
2013-07,761.868,
2013-10,772.731,
2014-01,850.909,Provisional value
2014-04,859.373,Provisional value
2014-07,896.965,Provisional value
2014-10,678.827,Provisional value
