"",BBK01.OEAC39L,BBK01.OEAC39L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:52,
2002-01,6.965,
2002-04,7.118,
2002-07,7.364,
2002-10,7.422,
2003-01,7.857,
2003-04,7.969,
2003-07,9.022,
2003-10,9.737,
2004-01,9.914,
2004-04,10.281,
2004-07,10.351,
2004-10,10.136,
2005-01,11.124,
2005-04,10.604,
2005-07,13.407,
2005-10,12.562,
2006-01,12.725,
2006-04,13.542,
2006-07,11.690,
2006-10,11.345,
2007-01,11.441,
2007-04,11.968,
2007-07,12.836,
2007-10,14.642,
2008-01,15.028,
2008-04,15.110,
2008-07,17.461,
2008-10,16.712,
2009-01,16.154,
2009-04,16.096,
2009-07,15.603,
2009-10,15.524,
2010-01,13.733,
2010-04,13.401,
2010-07,14.102,
2010-10,14.474,
2011-01,14.120,
2011-04,13.370,
2011-07,13.178,
2011-10,12.541,
2012-01,13.074,
2012-04,13.565,
2012-07,13.652,
2012-10,13.547,
2013-01,12.949,
2013-04,12.469,
2013-07,12.414,
2013-10,12.262,
2014-01,12.264,
2014-04,12.550,
2014-07,11.976,
