"",BBK01.OXA7E3,BBK01.OXA7E3_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from other domestic sectors during the reporting period - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:56,
2009-12,0.121,
2010-01,0.088,
2010-02,0.205,
2010-03,0.183,
2010-04,0.065,
2010-05,0.075,
2010-06,0.067,
2010-07,0.040,
2010-08,0.135,
2010-09,0.024,
2010-10,0.070,
2010-11,0.165,
2010-12,0.026,
2011-01,0.075,
2011-02,-0.014,
2011-03,-0.319,
2011-04,-0.008,
2011-05,0.010,
2011-06,0.014,
2011-07,0.014,
2011-08,0.020,
2011-09,0.012,
2011-10,0.017,
2011-11,-0.041,
2011-12,0.022,
2012-01,0.022,
2012-02,0.008,
2012-03,-0.009,
2012-04,0.032,
2012-05,0.019,
2012-06,0.011,
2012-07,-0.026,
2012-08,0.067,
2012-09,0.007,
2012-10,-0.001,
2012-11,0.017,
2012-12,0.011,
2013-01,0.020,
2013-02,0.010,
2013-03,0.012,
2013-04,0.007,
2013-05,0.043,
2013-06,0.018,
2013-07,0.018,
2013-08,0.014,
2013-09,0.008,
2013-10,0.033,
2013-11,0.026,
2013-12,0.019,
2014-01,0.010,
2014-02,0.022,
2014-03,0.014,
2014-04,-0.310,
2014-05,0.018,
2014-06,0.015,
2014-07,0.013,
2014-08,0.023,
2014-09,0.027,
2014-10,0.018,
2014-11,0.009,
2014-12,0.006,Provisional value
