"",BBK01.OEBB17V,BBK01.OEBB17V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:15,
2002-01,5.837,
2002-04,6.006,
2002-07,6.078,
2002-10,6.284,
2003-01,6.324,
2003-04,5.204,
2003-07,5.272,
2003-10,5.265,
2004-01,5.053,
2004-04,5.145,
2004-07,5.201,
2004-10,5.077,
2005-01,6.156,
2005-04,6.148,
2005-07,6.408,
2005-10,6.420,
2006-01,6.463,
2006-04,6.564,
2006-07,6.683,
2006-10,6.925,
2007-01,7.007,
2007-04,7.186,
2007-07,7.237,
2007-10,7.149,
2008-01,6.981,
2008-04,7.040,
2008-07,7.076,
2008-10,7.394,
2009-01,7.456,
2009-04,8.492,
2009-07,8.410,
2009-10,8.385,
2010-01,8.305,
2010-04,8.233,
2010-07,7.874,
2010-10,7.759,
2011-01,7.832,
2011-04,7.793,
2011-07,7.823,
2011-10,7.724,
2012-01,7.714,
2012-04,7.710,
2012-07,7.645,
2012-10,7.627,
2013-01,7.663,
2013-04,7.704,
2013-07,7.769,
2013-10,7.874,
2014-01,7.930,
2014-04,8.092,
2014-07,8.118,
