"",BBK01.OEXM01S,BBK01.OEXM01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:33,
2002-01,0.337,
2002-04,0.298,
2002-07,0.287,
2002-10,0.212,
2003-01,0.205,
2003-04,0.197,
2003-07,0.213,
2003-10,0.196,
2004-01,0.175,
2004-04,0.186,
2004-07,0.203,
2004-10,0.206,
2005-01,0.196,
2005-04,0.243,
2005-07,0.264,
2005-10,0.281,
2006-01,0.270,
2006-04,0.323,
2006-07,0.334,
2006-10,0.318,
2007-01,0.342,
2007-04,0.381,
2007-07,0.400,
2007-10,0.409,
2008-01,0.442,
2008-04,0.459,
2008-07,0.481,
2008-10,0.540,
2009-01,0.613,
2009-04,0.706,
2009-07,0.733,
2009-10,0.743,
2010-01,0.740,
2010-04,0.776,
2010-07,0.781,
2010-10,0.803,
2011-01,0.736,
2011-04,0.757,
2011-07,0.756,
2011-10,0.771,
2012-01,0.749,
2012-04,0.785,
2012-07,0.859,
2012-10,0.848,
2013-01,0.878,
2013-04,0.965,
2013-07,0.952,
2013-10,1.009,
2014-01,0.919,
2014-04,0.974,
2014-07,0.983,
