"",BBEX3.A.NPR.USD.CA.AA.A04,BBEX3.A.NPR.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Nepal / USD 1 = NPR ... (buying),
unit,NPR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:38,
1990,29.40,
1991,37.95,comment
1992,42.64,comment
1993,48.95,comment
1994,49.19,
1995,51.97,
1996,56.25,
1997,58.00,
1998,65.86,
1999,68.02,
2000,71.03,
2001,74.84,
2002,77.71,
2003,75.56,
2004,73.27,
2005,71.23,
2006,72.51,
2007,65.89,
2008,70.02,
2009,77.39,
2010,72.86,
2011,74.82,
2012,85.30,
2013,93.99,
2014,97.41,
"","Source: Nepal Rastra Bank, Kathmandu",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1991: On 2 and 4 July 1991, the Nepalese rupee was devalued in two stages. We recorded the following exchange rates (buying/selling rate; calculated devaluation in brackets): 30 June 1991: USD 1 = NPR 35.30 / 35.50  2 July 1991: USD 1 = NPR 38.00 / 38.20 (-7.1%)  4 July 1991: USD 1 = NPR 42.70 / 42.90 (-11.0%)",
"","Comment on 1992: From 4 March 1992 to 12 February 1993, Nepal had a multiple exchange rate system; for information on how the exchange rates were used, see BBEX3:M:NPR:USD:CA:AA:A01. The average free market rate between March and December 1992, calculated on the basis of month-end exchange rates, was USD 1 = NPR 47.12 / 49.48 (buying/selling).",
"","Comment on 1993: For January 1993, the free market rate was used to calculate the average rate.",
