"",BBK01.OEBB23R,BBK01.OEBB23R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:33,
2002-01,0.023,
2002-04,0.024,
2002-07,0.024,
2002-10,0.023,
2003-01,0.021,
2003-04,0.023,
2003-07,0.024,
2003-10,0.032,
2004-01,0.030,
2004-04,0.034,
2004-07,0.043,
2004-10,0.047,
2005-01,0.045,
2005-04,0.045,
2005-07,0.039,
2005-10,0.038,
2006-01,0.040,
2006-04,0.039,
2006-07,0.036,
2006-10,0.020,
2007-01,0.020,
2007-04,0.069,
2007-07,0.069,
2007-10,0.053,
2008-01,0.003,
2008-04,0.002,
2008-07,0.003,
2008-10,0.002,
2009-01,0.002,
2009-04,0.002,
2009-07,0.002,
2009-10,0.001,
2010-01,0.002,
2010-04,0.003,
2010-07,0.002,
2010-10,0.040,
2011-01,0.040,
2011-04,0.041,
2011-07,0.041,
2011-10,0.041,
2012-01,0.041,
2012-04,0.041,
2012-07,0.046,
2012-10,0.047,
2013-01,0.047,
2013-04,0.059,
2013-07,0.172,
2013-10,0.182,
2014-01,0.182,
2014-04,0.170,
2014-07,0.172,
