"",BBK01.OEXB05L,BBK01.OEXB05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:35,
2002-01,45.363,
2002-04,40.207,
2002-07,40.550,
2002-10,43.401,
2003-01,48.319,
2003-04,44.483,
2003-07,44.981,
2003-10,45.760,
2004-01,54.471,
2004-04,52.837,
2004-07,53.874,
2004-10,52.546,
2005-01,56.461,
2005-04,60.582,
2005-07,67.301,
2005-10,77.957,
2006-01,82.464,
2006-04,84.103,
2006-07,85.399,
2006-10,85.592,
2007-01,89.631,
2007-04,95.789,
2007-07,96.124,
2007-10,105.208,
2008-01,112.237,
2008-04,112.097,
2008-07,118.666,
2008-10,130.648,
2009-01,141.765,
2009-04,134.440,
2009-07,130.084,
2009-10,124.713,
2010-01,117.924,
2010-04,123.959,
2010-07,119.123,
2010-10,119.014,
2011-01,127.820,
2011-04,123.855,
2011-07,127.106,
2011-10,126.326,
2012-01,125.742,
2012-04,126.892,
2012-07,125.117,
2012-10,121.844,
2013-01,120.951,
2013-04,120.998,
2013-07,114.916,
2013-10,115.100,
2014-01,114.998,
2014-04,115.871,
2014-07,117.422,
