"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U9.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U9.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / All areas other than EU and ref./home area / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:50,
2009-09,17256,
2009-10,15993,
2009-11,16592,
2009-12,16664,
2010-01,17207,
2010-02,16989,
2010-03,16961,
2010-04,17251,
2010-05,16610,
2010-06,16741,
2010-07,16524,
2010-08,17585,
2010-09,16629,
2010-10,16854,
2010-11,16855,
2010-12,16854,
2011-01,16863,
2011-02,17283,
2011-03,17051,
2011-04,17024,
2011-05,17464,
2011-06,17846,
2011-07,17927,
2011-08,17346,
2011-09,16582,
2011-10,19145,
2011-11,15122,
2011-12,15216,
2012-01,16397,
2012-02,15046,
2012-03,15278,
2012-04,14079,
2012-05,14325,
2012-06,14465,
2012-07,14929,
2012-08,14733,
2012-09,14731,
2012-10,14618,
2012-11,14895,
2012-12,15121,
2013-01,15241,
2013-02,15632,
2013-03,15664,
2013-04,17604,
2013-05,17318,
2013-06,16740,
2013-07,17428,
2013-08,17665,
2013-09,17834,
2013-10,18213,
2013-11,18590,
2013-12,18665,
2014-01,18571,
2014-02,18657,
2014-03,19635,
2014-04,19746,
2014-05,20615,
2014-06,20963,
2014-07,21250,
2014-08,21797,
2014-09,22647,
2014-10,23438,
2014-11,23579,
