"",BBK01.OEAE31V,BBK01.OEAE31V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:45,
2002-01,2.673,
2002-04,2.743,
2002-07,2.727,
2002-10,2.780,
2003-01,2.729,
2003-04,2.734,
2003-07,2.714,
2003-10,2.647,
2004-01,2.588,
2004-04,2.540,
2004-07,2.415,
2004-10,2.521,
2005-01,2.408,
2005-04,2.370,
2005-07,2.271,
2005-10,2.350,
2006-01,2.522,
2006-04,2.664,
2006-07,2.692,
2006-10,2.635,
2007-01,2.557,
2007-04,2.373,
2007-07,2.349,
2007-10,2.319,
2008-01,2.270,
2008-04,2.154,
2008-07,1.962,
2008-10,1.602,
2009-01,0.965,
2009-04,1.680,
2009-07,1.737,
2009-10,1.611,
2010-01,2.032,
2010-04,1.916,
2010-07,1.289,
2010-10,1.338,
2011-01,1.411,
2011-04,1.378,
2011-07,1.561,
2011-10,1.632,
2012-01,1.684,
2012-04,1.704,
2012-07,1.771,
2012-10,1.656,
2013-01,1.681,
2013-04,1.719,
2013-07,1.717,
2013-10,1.639,
2014-01,1.717,
2014-04,1.796,
2014-07,1.852,
