"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.P.F51._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.P.F51._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Shares / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:02,
1991-01,-1307.879,
1991-04,1352.745,
1991-07,2133.201,
1991-10,-591.675,
1992-01,-1225.574,
1992-04,660.296,
1992-07,-380.568,
1992-10,-1252.849,
1993-01,-2180.115,
1993-04,1955.144,
1993-07,3815.970,
1993-10,794.516,
1994-01,-2073.832,
1994-04,2841.472,
1994-07,1490.140,
1994-10,-1614.304,
1995-01,-5601.276,
1995-04,4920.416,
1995-07,1850.356,
1995-10,-2037.393,
1996-01,269.819,
1996-04,7638.758,
1996-07,435.059,
1996-10,2937.322,
1997-01,-2206.970,
1997-04,5239.487,
1997-07,12524.417,
1997-10,-1594.448,
1998-01,-71.727,
1998-04,25403.689,
1998-07,5548.002,
1998-10,20920.283,
1999-01,-17040.325,
1999-04,20056.406,
1999-07,10588.607,
1999-10,9014.803,
2000-01,-94728.298,
2000-04,42773.565,
2000-07,7206.318,
2000-10,10015.404,
2001-01,1046.713,
2001-04,70404.255,
2001-07,15066.184,
2001-10,294.571,
2002-01,4959.420,
2002-04,9217.305,
2002-07,-902.035,
2002-10,2641.233,
2003-01,-4077.274,
2003-04,3644.711,
2003-07,3711.018,
2003-10,19573.195,
2004-01,-5502.253,
2004-04,-12826.234,
2004-07,7172.779,
2004-10,364.263,
2005-01,1164.559,
2005-04,3394.393,
2005-07,7678.849,
2005-10,-428.099,
2006-01,-450.126,
2006-04,-164.861,
2006-07,5549.603,
2006-10,14858.656,
2007-01,16447.613,
2007-04,32260.924,
2007-07,1204.672,
2007-10,2883.784,
2008-01,-16259.059,
2008-04,-21094.304,
2008-07,-319.744,
2008-10,867.300,
2009-01,-9750.234,
2009-04,-1487.305,
2009-07,12411.858,
2009-10,855.649,
2010-01,-99.849,
2010-04,619.185,
2010-07,2216.667,
2010-10,-2673.173,
2011-01,-6752.732,
2011-04,5892.197,
2011-07,-4276.849,
2011-10,-6187.151,
2012-01,-8877.415,
2012-04,9954.880,
2012-07,350.498,
2012-10,-334.381,
2013-01,-5360.113,
2013-04,2533.284,
2013-07,3974.835,
2013-10,4179.602,
2014-01,-5315.260,
2014-04,7668.059,
2014-07,5487.111,
