"",BBK01.OEYM07G,BBK01.OEYM07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:08,
2002-01,0.047,
2002-04,0.042,
2002-07,0.093,
2002-10,0.091,
2003-01,0.068,
2003-04,0.074,
2003-07,0.086,
2003-10,0.055,
2004-01,0.052,
2004-04,0.060,
2004-07,0.127,
2004-10,0.101,
2005-01,0.087,
2005-04,0.085,
2005-07,0.178,
2005-10,0.163,
2006-01,0.143,
2006-04,0.154,
2006-07,0.144,
2006-10,0.064,
2007-01,0.073,
2007-04,0.051,
2007-07,0.023,
2007-10,0.016,
2008-01,0.018,
2008-04,0.011,
2008-07,0.009,
2008-10,0.025,
2009-01,0.082,
2009-04,0.101,
2009-07,0.153,
2009-10,0.128,
2010-01,0.126,
2010-04,0.131,
2010-07,0.158,
2010-10,0.147,
2011-01,0.155,
2011-04,0.165,
2011-07,0.190,
2011-10,0.130,
2012-01,0.159,
2012-04,0.199,
2012-07,0.209,
2012-10,0.309,
2013-01,0.295,
2013-04,0.389,
2013-07,0.409,
2013-10,0.398,
2014-01,0.415,
2014-04,0.439,
2014-07,0.360,
