"",BBK01.OELB16I,BBK01.OELB16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:33,
2002-01,1.003,
2002-04,1.010,
2002-07,1.012,
2002-10,1.014,
2003-01,1.017,
2003-04,1.034,
2003-07,1.045,
2003-10,1.041,
2004-01,1.049,
2004-04,1.061,
2004-07,1.055,
2004-10,1.056,
2005-01,1.051,
2005-04,1.063,
2005-07,1.082,
2005-10,1.088,
2006-01,1.056,
2006-04,1.053,
2006-07,1.035,
2006-10,1.005,
2007-01,0.993,
2007-04,1.052,
2007-07,1.034,
2007-10,1.085,
2008-01,1.110,
2008-04,1.117,
2008-07,1.113,
2008-10,1.154,
2009-01,1.146,
2009-04,1.156,
2009-07,1.168,
2009-10,1.097,
2010-01,1.110,
2010-04,1.138,
2010-07,1.131,
2010-10,1.108,
2011-01,1.096,
2011-04,1.102,
2011-07,1.114,
2011-10,1.125,
2012-01,1.129,
2012-04,2.497,
2012-07,2.532,
2012-10,2.565,
2013-01,2.591,
2013-04,2.614,
2013-07,2.613,
2013-10,2.659,
2014-01,2.685,
2014-04,2.693,
2014-07,2.715,
