"",BBK01.OEAC23G,BBK01.OEAC23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:07,
2002-01,1.036,
2002-04,0.949,
2002-07,1.771,
2002-10,1.433,
2003-01,1.350,
2003-04,3.446,
2003-07,0.933,
2003-10,1.230,
2004-01,1.892,
2004-04,2.497,
2004-07,0.723,
2004-10,1.519,
2005-01,2.120,
2005-04,3.102,
2005-07,1.987,
2005-10,1.207,
2006-01,2.071,
2006-04,1.388,
2006-07,2.471,
2006-10,1.687,
2007-01,2.080,
2007-04,2.122,
2007-07,4.661,
2007-10,5.615,
2008-01,2.925,
2008-04,3.282,
2008-07,2.216,
2008-10,2.508,
2009-01,3.203,
2009-04,2.607,
2009-07,2.622,
2009-10,2.593,
2010-01,3.497,
2010-04,3.173,
2010-07,4.217,
2010-10,4.205,
2011-01,4.333,
2011-04,3.581,
2011-07,4.243,
2011-10,4.699,
2012-01,4.227,
2012-04,5.822,
2012-07,6.301,
2012-10,6.338,
2013-01,6.846,
2013-04,5.821,
2013-07,3.563,
2013-10,3.077,
2014-01,2.941,
2014-04,2.813,
2014-07,3.362,
