"",BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:58,
1991-01,-358.807,
1991-04,-218.831,
1991-07,745.930,
1991-10,448.333,
1992-01,507.837,
1992-04,371.303,
1992-07,1695.068,
1992-10,791.566,
1993-01,448.939,
1993-04,479.943,
1993-07,473.824,
1993-10,1247.767,
1994-01,33.186,
1994-04,-444.095,
1994-07,913.660,
1994-10,96.117,
1995-01,58.016,
1995-04,920.785,
1995-07,-447.224,
1995-10,83.735,
1996-01,63.654,
1996-04,-413.331,
1996-07,-17.606,
1996-10,175.195,
1997-01,-0.520,
1997-04,-54.305,
1997-07,1934.798,
1997-10,-789.202,
1998-01,11.874,
1998-04,261.494,
1998-07,1145.259,
1998-10,853.292,
1999-01,418.808,
1999-04,-131.704,
1999-07,2151.175,
1999-10,-50.385,
2000-01,-816.538,
2000-04,576.714,
2000-07,1136.937,
2000-10,531.657,
2001-01,388.887,
2001-04,2789.676,
2001-07,1395.328,
2001-10,694.253,
2002-01,1861.357,
2002-04,1047.778,
2002-07,1060.510,
2002-10,1463.273,
2003-01,1229.801,
2003-04,1158.353,
2003-07,1454.301,
2003-10,691.246,
2004-01,1076.290,
2004-04,-1795.736,
2004-07,1041.178,
2004-10,-54.729,
2005-01,-146.273,
2005-04,-4770.955,
2005-07,1292.410,
2005-10,1484.655,
2006-01,-746.996,
2006-04,-348.662,
2006-07,921.996,
2006-10,721.364,
2007-01,967.946,
2007-04,1984.922,
2007-07,-1175.370,
2007-10,2323.477,
2008-01,64.809,
2008-04,2140.661,
2008-07,2152.782,
2008-10,3739.453,
2009-01,1653.824,
2009-04,814.979,
2009-07,-365.160,
2009-10,1330.753,
2010-01,121.775,
2010-04,1469.328,
2010-07,2339.144,
2010-10,156.784,
2011-01,757.964,
2011-04,2494.623,
2011-07,316.260,
2011-10,973.218,
2012-01,247.323,
2012-04,179.159,
2012-07,367.866,
2012-10,1410.049,
2013-01,715.140,
2013-04,1721.560,
2013-07,669.818,
2013-10,-242.213,
2014-01,178.912,
2014-04,-132.608,
2014-07,1853.557,
2014-10,2137.393,
