"",BBK01.OELL03M,BBK01.OELL03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:54,
2002-01,3.354,
2002-04,3.268,
2002-07,3.254,
2002-10,3.303,
2003-01,3.273,
2003-04,3.186,
2003-07,3.091,
2003-10,3.062,
2004-01,2.977,
2004-04,2.885,
2004-07,2.844,
2004-10,2.861,
2005-01,2.904,
2005-04,2.888,
2005-07,2.843,
2005-10,2.895,
2006-01,2.940,
2006-04,2.917,
2006-07,2.921,
2006-10,3.058,
2007-01,3.208,
2007-04,3.341,
2007-07,3.509,
2007-10,3.795,
2008-01,3.939,
2008-04,4.223,
2008-07,4.061,
2008-10,4.642,
2009-01,4.174,
2009-04,3.724,
2009-07,3.417,
2009-10,3.063,
2010-01,2.922,
2010-04,2.830,
2010-07,2.756,
2010-10,2.804,
2011-01,2.787,
2011-04,2.811,
2011-07,2.888,
2011-10,3.002,
2012-01,3.009,
2012-04,2.954,
2012-07,2.842,
2012-10,2.658,
2013-01,2.571,
2013-04,2.484,
2013-07,2.408,
2013-10,2.392,
2014-01,2.334,
2014-04,2.260,
2014-07,2.218,
