"",BBFB1.Q.N.DE.DK.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:13,
1991-01,1573.405,
1991-04,1617.263,
1991-07,1582.791,
1991-10,1821.299,
1992-01,1693.331,
1992-04,1713.609,
1992-07,1704.106,
1992-10,1963.992,
1993-01,1251.692,
1993-04,1279.613,
1993-07,1259.159,
1993-10,1416.722,
1994-01,1293.635,
1994-04,1397.570,
1994-07,1366.513,
1994-10,1632.785,
1995-01,1586.110,
1995-04,1573.434,
1995-07,1560.621,
1995-10,1643.982,
1996-01,1479.180,
1996-04,1646.019,
1996-07,1603.346,
1996-10,1752.949,
1997-01,1685.119,
1997-04,1684.108,
1997-07,1806.723,
1997-10,2153.139,
1998-01,1822.461,
1998-04,1679.421,
1998-07,1679.466,
1998-10,1734.727,
1999-01,1690.384,
1999-04,1871.654,
1999-07,1747.323,
1999-10,2011.551,
2000-01,2025.930,
2000-04,2052.672,
2000-07,2060.225,
2000-10,2588.007,
2001-01,2172.952,
2001-04,2085.295,
2001-07,2282.599,
2001-10,2388.475,
2002-01,2082.117,
2002-04,2172.900,
2002-07,2139.393,
2002-10,2736.474,
2003-01,2493.505,
2003-04,2239.630,
2003-07,2197.675,
2003-10,2472.930,
2004-01,2390.334,
2004-04,2263.308,
2004-07,2363.992,
2004-10,2614.801,
2005-01,2381.125,
2005-04,2606.718,
2005-07,2554.685,
2005-10,2720.384,
2006-01,2766.979,
2006-04,2464.906,
2006-07,2640.256,
2006-10,2842.411,
2007-01,2805.279,
2007-04,2802.089,
2007-07,2781.238,
2007-10,2722.782,
2008-01,2938.095,
2008-04,2905.724,
2008-07,3118.329,
2008-10,3039.953,
2009-01,2613.101,
2009-04,2336.289,
2009-07,2617.898,
2009-10,3086.356,
2010-01,2433.888,
2010-04,2587.565,
2010-07,2710.701,
2010-10,2914.142,
2011-01,2785.824,
2011-04,3048.496,
2011-07,2907.598,
2011-10,3477.702,
2012-01,2920.503,
2012-04,2838.785,
2012-07,2821.338,
2012-10,2876.974,
2013-01,2808.480,
2013-04,2822.083,
2013-07,2996.092,
2013-10,3088.508,
2014-01,3130.597,Provisional value
2014-04,2866.847,Provisional value
2014-07,2854.055,Provisional value
