"",BBDE1.M.DE.Y.AEA1.A2R290050.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2R290050.F.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / 29+30 Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:36,
1991-01,48.8,
1991-02,45.6,
1991-03,48.0,
1991-04,42.9,
1991-05,44.9,
1991-06,45.9,
1991-07,45.5,
1991-08,50.8,
1991-09,46.5,
1991-10,45.3,
1991-11,48.0,
1991-12,49.3,
1992-01,46.8,
1992-02,48.9,
1992-03,46.6,
1992-04,44.0,
1992-05,41.7,
1992-06,41.5,
1992-07,40.8,
1992-08,40.5,
1992-09,42.1,
1992-10,38.7,
1992-11,39.1,
1992-12,43.6,
1993-01,40.1,
1993-02,35.1,
1993-03,35.6,
1993-04,36.1,
1993-05,40.2,
1993-06,37.6,
1993-07,38.2,
1993-08,37.6,
1993-09,40.6,
1993-10,41.0,
1993-11,39.6,
1993-12,45.0,
1994-01,39.7,
1994-02,43.3,
1994-03,46.5,
1994-04,44.8,
1994-05,41.1,
1994-06,44.1,
1994-07,44.4,
1994-08,43.2,
1994-09,44.1,
1994-10,42.7,
1994-11,47.5,
1994-12,47.2,
1995-01,43.6,
1995-02,44.1,
1995-03,45.2,
1995-04,43.8,
1995-05,49.2,
1995-06,43.5,
1995-07,49.5,
1995-08,43.5,
1995-09,45.2,
1995-10,45.2,
1995-11,52.2,
1995-12,48.9,
1996-01,45.3,
1996-02,45.0,
1996-03,49.2,
1996-04,48.2,
1996-05,48.0,
1996-06,51.1,
1996-07,48.5,
1996-08,50.4,
1996-09,47.2,
1996-10,49.6,
1996-11,48.2,
1996-12,48.4,
1997-01,50.1,
1997-02,49.8,
1997-03,53.6,
1997-04,54.8,
1997-05,53.9,
1997-06,52.8,
1997-07,52.0,
1997-08,54.8,
1997-09,55.4,
1997-10,55.2,
1997-11,52.4,
1997-12,58.1,
1998-01,58.8,
1998-02,58.9,
1998-03,61.6,
1998-04,62.0,
1998-05,59.9,
1998-06,57.5,
1998-07,63.3,
1998-08,57.6,
1998-09,64.4,
1998-10,62.4,
1998-11,59.5,
1998-12,61.8,
1999-01,59.6,
1999-02,60.9,
1999-03,60.7,
1999-04,61.5,
1999-05,59.5,
1999-06,63.7,
1999-07,62.4,
1999-08,69.7,
1999-09,66.4,
1999-10,67.5,
1999-11,66.2,
1999-12,67.8,
2000-01,63.0,
2000-02,68.8,
2000-03,72.4,
2000-04,72.8,
2000-05,70.5,
2000-06,76.6,
2000-07,75.1,
2000-08,71.2,
2000-09,72.6,
2000-10,74.3,
2000-11,78.4,
2000-12,81.3,
2001-01,76.4,
2001-02,78.9,
2001-03,76.9,
2001-04,76.0,
2001-05,77.0,
2001-06,80.8,
2001-07,75.5,
2001-08,79.1,
2001-09,73.6,
2001-10,71.8,
2001-11,74.9,
2001-12,76.1,
2002-01,76.4,
2002-02,72.9,
2002-03,78.5,
2002-04,76.3,
2002-05,82.6,
2002-06,79.6,
2002-07,80.0,
2002-08,84.7,
2002-09,78.0,
2002-10,79.4,
2002-11,79.6,
2002-12,76.8,
2003-01,80.5,
2003-02,81.0,
2003-03,76.2,
2003-04,77.8,
2003-05,76.6,
2003-06,81.0,
2003-07,76.3,
2003-08,79.2,
2003-09,79.6,
2003-10,79.2,
2003-11,78.3,
2003-12,80.4,
2004-01,78.9,
2004-02,79.7,
2004-03,80.3,
2004-04,83.8,
2004-05,83.6,
2004-06,83.3,
2004-07,82.7,
2004-08,80.3,
2004-09,86.4,
2004-10,86.3,
2004-11,81.4,
2004-12,95.1,
2005-01,83.2,
2005-02,82.3,
2005-03,89.2,
2005-04,85.1,
2005-05,86.9,
2005-06,92.2,
2005-07,93.4,
2005-08,87.3,
2005-09,96.0,
2005-10,94.2,
2005-11,97.4,
2005-12,92.9,
2006-01,95.0,
2006-02,97.2,
2006-03,95.4,
2006-04,96.1,
2006-05,96.2,
2006-06,93.5,
2006-07,99.8,
2006-08,105.3,
2006-09,102.1,
2006-10,94.6,
2006-11,97.0,
2006-12,99.5,
2007-01,98.5,
2007-02,106.3,
2007-03,100.7,
2007-04,105.5,
2007-05,107.0,
2007-06,116.8,
2007-07,104.1,
2007-08,105.6,
2007-09,106.7,
2007-10,113.6,
2007-11,115.5,
2007-12,113.7,
2008-01,109.3,
2008-02,111.5,
2008-03,106.5,
2008-04,107.6,
2008-05,109.0,
2008-06,98.9,
2008-07,98.5,
2008-08,98.9,
2008-09,88.8,
2008-10,80.3,
2008-11,75.5,
2008-12,73.0,
2009-01,69.0,
2009-02,70.0,
2009-03,76.3,
2009-04,74.1,
2009-05,83.3,
2009-06,83.2,
