"",BBK01.OEHB19U,BBK01.OEHB19U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:38,
2002-01,0.158,
2002-04,0.159,
2002-07,0.159,
2002-10,0.154,
2003-01,0.150,
2003-04,0.149,
2003-07,0.148,
2003-10,0.143,
2004-01,0.141,
2004-04,0.139,
2004-07,0.135,
2004-10,0.132,
2005-01,0.130,
2005-04,0.131,
2005-07,0.129,
2005-10,0.127,
2006-01,0.126,
2006-04,0.130,
2006-07,0.130,
2006-10,0.131,
2007-01,0.126,
2007-04,0.128,
2007-07,0.130,
2007-10,0.126,
2008-01,0.117,
2008-04,0.115,
2008-07,0.109,
2008-10,0.103,
2009-01,0.099,
2009-04,0.100,
2009-07,0.088,
2009-10,0.087,
2010-01,0.085,
2010-04,0.086,
2010-07,0.089,
2010-10,0.087,
2011-01,0.091,
2011-04,0.093,
2011-07,0.095,
2011-10,0.095,
2012-01,0.096,
2012-04,0.105,
2012-07,0.105,
2012-10,0.105,
2013-01,0.106,
2013-04,0.111,
2013-07,0.115,
2013-10,0.111,
2014-01,0.111,
2014-04,0.114,
2014-07,0.113,
