"",BBFB1.Q.N.DE.A5.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:00,
1991-01,446.094,
1991-04,422.885,
1991-07,439.363,
1991-10,423.985,
1992-01,383.407,
1992-04,407.093,
1992-07,414.715,
1992-10,405.386,
1993-01,380.116,
1993-04,416.613,
1993-07,406.890,
1993-10,407.096,
1994-01,271.765,
1994-04,283.169,
1994-07,283.760,
1994-10,274.845,
1995-01,532.642,
1995-04,557.523,
1995-07,560.136,
1995-10,555.363,
1996-01,536.786,
1996-04,465.930,
1996-07,439.032,
1996-10,443.359,
1997-01,557.121,
1997-04,493.755,
1997-07,501.134,
1997-10,583.234,
1998-01,663.739,
1998-04,507.642,
1998-07,549.027,
1998-10,627.082,
1999-01,831.927,
1999-04,631.571,
1999-07,680.162,
1999-10,862.029,
2000-01,854.750,
2000-04,1035.478,
2000-07,1172.069,
2000-10,1077.805,
2001-01,813.294,
2001-04,867.575,
2001-07,834.690,
2001-10,751.329,
2002-01,756.590,
2002-04,708.767,
2002-07,686.660,
2002-10,651.597,
2003-01,825.235,
2003-04,736.550,
2003-07,722.063,
2003-10,729.383,
2004-01,1024.765,
2004-04,1119.122,
2004-07,1294.599,
2004-10,1417.879,
2005-01,1226.662,
2005-04,1279.852,
2005-07,1322.484,
2005-10,1414.353,
2006-01,1514.073,
2006-04,1645.101,
2006-07,1768.100,
2006-10,1868.185,
2007-01,1880.124,
2007-04,1800.941,
2007-07,1635.955,
2007-10,1507.889,
2008-01,1286.290,
2008-04,1113.220,
2008-07,1036.875,
2008-10,805.216,
2009-01,643.796,
2009-04,592.217,
2009-07,535.874,
2009-10,520.967,
2010-01,806.321,
2010-04,779.233,
2010-07,763.610,
2010-10,815.114,
2011-01,673.168,
2011-04,710.766,
2011-07,758.890,
2011-10,736.985,
2012-01,778.436,
2012-04,806.353,
2012-07,821.475,
2012-10,828.616,
2013-01,1119.140,
2013-04,1113.221,
2013-07,1080.462,
2013-10,1089.805,
2014-01,1039.635,Provisional value
2014-04,1072.369,Provisional value
2014-07,1044.934,Provisional value
