"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.BN00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.BN00.Z06.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:45,
1971-12,3.540,
1972-01,3.626,
1972-02,3.807,
1972-03,3.987,
1972-04,4.042,
1972-05,4.129,
1972-06,4.130,
1972-07,4.130,
1972-08,4.140,
1972-09,4.194,
1972-10,4.171,
1972-11,4.116,
1972-12,4.005,
1973-01,4.005,
1973-02,4.039,
1973-03,3.989,
1973-04,3.990,
1973-05,3.982,
1973-06,3.925,
1973-07,3.922,
1973-08,3.974,
1973-09,4.000,
1973-10,4.011,
1973-11,4.064,
1973-12,4.155,
1974-01,4.165,
1974-02,4.208,
1974-03,4.228,
1974-04,4.331,
1974-05,4.264,
1974-06,4.261,
1974-07,4.256,
1974-08,4.327,
1974-09,4.314,
1974-10,4.297,
1974-11,4.331,
1974-12,4.397,
1975-01,4.568,
1975-02,4.652,
1975-03,4.677,
1975-04,4.697,
1975-05,4.666,
1975-06,4.601,
1975-07,4.623,
1975-08,4.676,
1975-09,4.617,
1975-10,4.662,
1975-11,4.618,
1975-12,4.458,
1976-01,4.651,
1976-02,4.751,
1976-03,4.805,
1976-04,4.824,
1976-05,4.806,
1976-06,4.814,
1976-07,4.784,
1976-08,4.933,
1976-09,4.870,
1976-10,4.644,
1976-11,4.620,
1976-12,4.592,
1977-01,4.612,
1977-02,4.598,
1977-03,4.615,
1977-04,4.555,
1977-05,4.536,
1977-06,4.626,
1977-07,4.613,
1977-08,4.621,
1977-09,4.599,
1977-10,4.593,
1977-11,4.574,
1977-12,4.523,
1978-01,4.570,
1978-02,4.549,
1978-03,4.587,
1978-04,4.552,
1978-05,4.502,
1978-06,4.547,
1978-07,4.642,
1978-08,4.618,
1978-09,4.734,
1978-10,4.715,
1978-11,4.610,
1978-12,4.640,
1979-01,4.666,
1979-02,4.705,
1979-03,4.652,
1979-04,4.707,
1979-05,4.883,
1979-06,4.868,
1979-07,5.025,
1979-08,5.185,
1979-09,5.211,
1979-10,5.327,
1979-11,5.254,
1979-12,5.158,
1980-01,5.216,
1980-02,5.311,
1980-03,5.315,
1980-04,5.317,
1980-05,5.320,
1980-06,5.391,
1980-07,5.446,
1980-08,5.487,
1980-09,5.610,
1980-10,5.629,
1980-11,5.710,
1980-12,5.765,
1981-01,5.800,
1981-02,5.760,
1981-03,5.868,
1981-04,5.928,
1981-05,6.091,
1981-06,6.296,
1981-07,6.391,
1981-08,6.595,
1981-09,6.617,
1981-10,6.728,
1981-11,7.279,
1981-12,7.429,
1982-01,7.565,
1982-02,7.685,
1982-03,7.655,
1982-04,7.590,
1982-05,7.504,
1982-06,7.423,
1982-07,7.556,
1982-08,7.581,
1982-09,7.382,
1982-10,7.359,
1982-11,7.329,
1982-12,7.175,
1983-01,7.167,
1983-02,7.252,
1983-03,7.425,
1983-04,7.440,
1983-05,7.512,
1983-06,7.633,
1983-07,7.926,
1983-08,8.011,
1983-09,8.065,
1983-10,8.114,
1983-11,8.099,
1983-12,8.358,
1984-01,8.414,
1984-02,8.340,
1984-03,8.282,
1984-04,8.246,
1984-05,8.325,
1984-06,7.927,
1984-07,7.920,
1984-08,8.002,
1984-09,7.988,
1984-10,8.034,
1984-11,7.959,
1984-12,7.833,
1985-01,7.919,
1985-02,8.081,
1985-03,8.171,
1985-04,8.057,
1985-05,7.971,
1985-06,7.860,
1985-07,7.805,
1985-08,7.760,
