"",BBK01.OEBB19G,BBK01.OEBB19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:39,
2002-01,3.337,
2002-04,4.383,
2002-07,4.473,
2002-10,4.602,
2003-01,4.696,
2003-04,4.743,
2003-07,4.897,
2003-10,5.070,
2004-01,5.155,
2004-04,5.833,
2004-07,6.135,
2004-10,6.883,
2005-01,5.245,
2005-04,5.273,
2005-07,3.941,
2005-10,3.941,
2006-01,3.911,
2006-04,3.950,
2006-07,3.997,
2006-10,3.406,
2007-01,3.435,
2007-04,3.531,
2007-07,3.649,
2007-10,3.476,
2008-01,3.532,
2008-04,3.598,
2008-07,3.559,
2008-10,3.699,
2009-01,3.944,
2009-04,3.969,
2009-07,3.974,
2009-10,3.929,
2010-01,3.795,
2010-04,3.660,
2010-07,3.591,
2010-10,3.436,
2011-01,3.359,
2011-04,3.395,
2011-07,3.462,
2011-10,3.406,
2012-01,3.325,
2012-04,3.316,
2012-07,3.300,
2012-10,3.254,
2013-01,3.203,
2013-04,3.206,
2013-07,3.307,
2013-10,3.341,
2014-01,3.367,
2014-04,3.261,
2014-07,3.313,
