"",BBSF2.M.1.S.I0122.GEM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:41,
1993-04,180,
1993-05,193,
1993-06,63,
1993-07,115,
1993-08,216,
1993-09,143,
1993-10,254,
1993-11,309,
1993-12,345,
1994-01,219,
1994-02,520,
1994-03,305,
1994-04,236,
1994-05,336,
1994-06,129,
1994-07,300,
1994-08,245,
1994-09,56,
1994-10,70,
1994-11,47,
1994-12,510,
1995-01,845,
1995-02,243,
1995-03,140,
1995-04,238,
1995-05,197,
1995-06,106,
1995-07,139,
1995-08,224,
1995-09,100,
1995-10,112,
1995-11,11,
1995-12,550,
1996-01,444,
1996-02,383,
1996-03,596,
1996-04,661,
1996-05,172,
1996-06,534,
1996-07,160,
1996-08,176,
1996-09,242,
1996-10,195,
1996-11,155,
1996-12,618,
1997-01,366,
1997-02,679,
1997-03,590,
1997-04,536,
1997-05,215,
1997-06,2781,
1997-07,1082,
1997-08,766,
1997-09,496,
1997-10,545,
1997-11,-262,
1997-12,1843,
1998-01,2765,
1998-02,848,
1998-03,1409,
1998-04,757,
1998-05,648,
1998-06,732,
1998-07,1097,
1998-08,1293,
1998-09,1359,
1998-10,635,
1998-11,633,
1998-12,1980,
1999-01,748,
1999-02,319,
1999-03,687,
1999-04,886,
1999-05,2627,
1999-06,1317,
1999-07,631,
1999-08,649,
1999-09,-591,
1999-10,533,
1999-11,447,
1999-12,508,
2000-01,2301,
2000-02,581,
2000-03,612,
2000-04,964,
2000-05,460,
2000-06,833,
2000-07,868,
2000-08,570,
2000-09,627,
2000-10,265,
2000-11,1125,
2000-12,1073,
2001-01,601,
2001-02,835,
2001-03,-374,
2001-04,303,
2001-05,325,
2001-06,188,
2001-07,-884,
2001-08,342,
2001-09,100,
2001-10,547,
2001-11,-524,
2001-12,1230,
2002-01,-98,
2002-02,244,
2002-03,-3748,
2002-04,-573,
2002-05,-653,
2002-06,411,
2002-07,199,
2002-08,251,
2002-09,-316,
2002-10,441,
2002-11,3315,
2002-12,510,
2003-01,-15,
2003-02,540,
2003-03,53,
2003-04,377,
2003-05,811,
2003-06,245,
2003-07,303,
2003-08,-239,
2003-09,-1902,
2003-10,-197,
2003-11,85,
2003-12,2668,
2004-01,-854,
2004-02,-404,
2004-03,147,
2004-04,84,
2004-05,146,
2004-06,17,
2004-07,120,
2004-08,29,
2004-09,1116,
2004-10,956,
2004-11,195,
2004-12,240,
2005-01,-45,
2005-02,76,
2005-03,-269,
2005-04,620,
2005-05,76,
2005-06,876,
2005-07,515,
2005-08,200,
2005-09,217,
2005-10,661,
2005-11,-28,
2005-12,489,
2006-01,1719,
2006-02,326,
2006-03,517,
2006-04,280,
2006-05,475,
2006-06,-166,
2006-07,12,
2006-08,-29,
2006-09,349,
2006-10,-285,
2006-11,462,
2006-12,853,
2007-01,1294,
2007-02,819,
2007-03,608,
2007-04,281,
2007-05,-149,
2007-06,144,
2007-07,-209,
2007-08,-1128,
2007-09,550,
2007-10,-771,
2007-11,246,
2007-12,472,
2008-01,312,
2008-02,-7,
2008-03,155,
2008-04,102,
2008-05,-123,
2008-06,-877,
2008-07,-9269,
2008-08,96,
2008-09,360,
2008-10,-740,
2008-11,-241,
2008-12,-1170,
2009-01,-716,
2009-02,-470,
2009-03,318,
2009-04,127,
2009-05,-2001,
2009-06,-636,
2009-07,-6,
2009-08,438,
2009-09,498,
2009-10,283,
2009-11,308,
2009-12,359,
2010-01,-414,
2010-02,249,
2010-03,47,
2010-04,154,
2010-05,-138,
2010-06,208,
2010-07,307,
2010-08,620,
2010-09,663,
2010-10,2776,
2010-11,443,
2010-12,-327,
2011-01,245,
2011-02,49,
2011-03,-199,
2011-04,291,
2011-05,-31,
2011-06,5,
2011-07,-42,
2011-08,-94,
2011-09,31,
2011-10,-192,
2011-11,-75,
2011-12,-398,
2012-01,-880,
2012-02,-1692,
2012-03,-558,
2012-04,214,
2012-05,-8,
2012-06,359,
2012-07,171,
2012-08,145,
2012-09,334,
2012-10,225,
2012-11,378,
2012-12,508,
2013-01,-29,
2013-02,2270,
2013-03,836,
2013-04,299,
2013-05,341,
2013-06,523,
2013-07,70,
2013-08,114,
2013-09,22,
2013-10,-304,
2013-11,346,
2013-12,863,
2014-01,-156,
2014-02,407,
2014-03,-289,
2014-04,392,
2014-05,1022,
2014-06,-580,
2014-07,449,
2014-08,282,
2014-09,451,
2014-10,554,
2014-11,430,
