"",BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:46,
1991-01,55.687,
1991-04,16.637,
1991-07,-0.555,
1991-10,134.829,
1992-01,20.928,
1992-04,133.180,
1992-07,4.353,
1992-10,28.661,
1993-01,-3.180,
1993-04,65.887,
1993-07,-8.869,
1993-10,-7.379,
1994-01,-0.547,
1994-04,58.229,
1994-07,84.200,
1994-10,45.037,
1995-01,66.091,
1995-04,114.230,
1995-07,88.215,
1995-10,161.884,
1996-01,286.537,
1996-04,293.792,
1996-07,134.313,
1996-10,232.182,
1997-01,-32.174,
1997-04,384.501,
1997-07,98.262,
1997-10,142.031,
1998-01,500.421,
1998-04,273.067,
1998-07,171.000,
1998-10,141.581,
1999-01,-187.178,
1999-04,178.503,
1999-07,68.484,
1999-10,6.077,
2000-01,242.460,
2000-04,280.183,
2000-07,-144.736,
2000-10,70.148,
2001-01,400.493,
2001-04,96.083,
2001-07,482.158,
2001-10,87.545,
2002-01,-248.995,
2002-04,66.345,
2002-07,-131.544,
2002-10,139.927,
2003-01,3987.700,
2003-04,-134.997,
2003-07,-147.749,
2003-10,-384.593,
2004-01,-882.652,
2004-04,2029.629,
2004-07,23.812,
2004-10,-546.384,
2005-01,3738.768,
2005-04,221.026,
2005-07,1516.610,
2005-10,1704.159,
2006-01,564.237,
2006-04,244.266,
2006-07,2077.707,
2006-10,822.389,
2007-01,767.075,
2007-04,-770.835,
2007-07,-617.614,
2007-10,-1092.422,
2008-01,-835.900,
2008-04,113.089,
2008-07,-30.031,
2008-10,187.952,
2009-01,-1149.054,
2009-04,-620.351,
2009-07,881.892,
2009-10,-957.482,
2010-01,-1813.402,
2010-04,-854.080,
2010-07,-403.399,
2010-10,501.101,
2011-01,-1320.553,
2011-04,-415.628,
2011-07,919.840,
2011-10,-442.185,
2012-01,1320.622,
2012-04,-1706.476,
2012-07,-176.601,
2012-10,-264.014,
2013-01,-1182.394,
2013-04,-680.618,
2013-07,-2064.361,
2013-10,-1351.507,
2014-01,-2170.834,Provisional value
2014-04,-1367.213,Provisional value
2014-07,-1655.214,Provisional value
2014-10,-250.289,Provisional value
