"",BBK01.TYI320,BBK01.TYI320_FLAGS
"",Monetary capital formation at monetary financial institutions(MFIs) in the euro area / Deposits at agreed notice of over 3 months / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:55,
1980-01,0,
1980-02,-566,
1980-03,-9,
1980-04,-528,
1980-05,-374,
1980-06,34,
1980-07,-1906,
1980-08,106,
1980-09,365,
1980-10,307,
1980-11,64,
1980-12,8103,
1981-01,-3245,
1981-02,-503,
1981-03,-751,
1981-04,22,
1981-05,-581,
1981-06,-119,
1981-07,-2366,
1981-08,-198,
1981-09,139,
1981-10,233,
1981-11,65,
1981-12,9310,
1982-01,-3591,
1982-02,119,
1982-03,413,
1982-04,536,
1982-05,-163,
1982-06,64,
1982-07,-2713,
1982-08,-24,
1982-09,276,
1982-10,533,
1982-11,145,
1982-12,9187,
1983-01,-4411,
1983-02,329,
1983-03,441,
1983-04,501,
1983-05,32,
1983-06,282,
1983-07,-4728,
1983-08,153,
1983-09,269,
1983-10,337,
1983-11,318,
1983-12,8600,
1984-01,-4223,
1984-02,546,
1984-03,499,
1984-04,121,
1984-05,86,
1984-06,261,
1984-07,-3064,
1984-08,215,
1984-09,89,
1984-10,423,
1984-11,382,
1984-12,7841,
1985-01,-2476,
1985-02,537,
1985-03,336,
1985-04,-35,
1985-05,-163,
1985-06,244,
1985-07,-2228,
1985-08,467,
1985-09,343,
1985-10,599,
1985-11,205,
1985-12,7435,
1986-01,-2349,
1986-02,835,
1986-03,876,
1986-04,567,
1986-05,147,
1986-06,404,
1986-07,-2312,
1986-08,461,
1986-09,409,
1986-10,577,
1986-11,220,
1986-12,7145,
1987-01,-2264,
1987-02,745,
1987-03,415,
1987-04,-133,
1987-05,133,
1987-06,179,
1987-07,-2461,
1987-08,127,
1987-09,247,
1987-10,-56,
1987-11,23,
1987-12,6324,
1988-01,-1818,
1988-02,-232,
1988-03,-158,
1988-04,-632,
1988-05,-313,
1988-06,-315,
1988-07,-1814,
1988-08,-728,
1988-09,-329,
1988-10,-393,
1988-11,-409,
1988-12,4769,
1989-01,-5727,
1989-02,-1277,
1989-03,-689,
1989-04,-763,
1989-05,-254,
1989-06,187,
1989-07,-2663,
1989-08,283,
1989-09,588,
1989-10,572,
1989-11,665,
1989-12,6512,
1990-01,-2726,
1990-02,490,
1990-03,679,
1990-04,344,
1990-05,250,
1990-06,438,
1990-07,-1696,
1990-08,931,
1990-09,1193,
1990-10,640,
1990-11,1174,
1990-12,7815,
1991-01,-2629,
1991-02,-169,
1991-03,479,
1991-04,-590,
1991-05,-164,
1991-06,92,
1991-07,-2267,
1991-08,-367,
1991-09,344,
1991-10,-90,
1991-11,705,
1991-12,8569,
1992-01,-2889,
1992-02,441,
1992-03,624,
1992-04,-736,
1992-05,-132,
1992-06,501,
1992-07,-1997,
1992-08,451,
1992-09,963,
1992-10,599,
1992-11,500,
1992-12,9007,
1993-01,-3436,
1993-02,-77,
1993-03,563,
