"",BBK01.OEHB24L,BBK01.OEHB24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:53,
2002-01,3.097,
2002-04,2.988,
2002-07,3.099,
2002-10,2.516,
2003-01,2.922,
2003-04,2.755,
2003-07,2.650,
2003-10,2.829,
2004-01,2.601,
2004-04,2.478,
2004-07,2.569,
2004-10,2.518,
2005-01,2.403,
2005-04,2.385,
2005-07,2.376,
2005-10,2.197,
2006-01,2.285,
2006-04,2.319,
2006-07,2.358,
2006-10,2.348,
2007-01,2.277,
2007-04,2.186,
2007-07,2.275,
2007-10,2.154,
2008-01,2.074,
2008-04,2.041,
2008-07,1.965,
2008-10,1.987,
2009-01,1.903,
2009-04,1.695,
2009-07,1.721,
2009-10,1.793,
2010-01,1.800,
2010-04,1.798,
2010-07,1.783,
2010-10,1.753,
2011-01,1.878,
2011-04,1.872,
2011-07,1.916,
2011-10,2.017,
2012-01,2.068,
2012-04,2.094,
2012-07,2.069,
2012-10,2.144,
2013-01,2.111,
2013-04,2.312,
2013-07,2.357,
2013-10,2.428,
2014-01,2.539,
2014-04,2.425,
2014-07,2.461,
