"",BBK01.OEBB01Q,BBK01.OEBB01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:14,
2002-01,13.658,
2002-04,13.556,
2002-07,13.536,
2002-10,13.470,
2003-01,13.445,
2003-04,13.439,
2003-07,13.425,
2003-10,12.998,
2004-01,12.785,
2004-04,12.704,
2004-07,12.465,
2004-10,12.206,
2005-01,13.334,
2005-04,13.125,
2005-07,13.221,
2005-10,12.944,
2006-01,13.030,
2006-04,13.026,
2006-07,12.949,
2006-10,13.226,
2007-01,13.079,
2007-04,13.100,
2007-07,13.008,
2007-10,13.006,
2008-01,12.891,
2008-04,13.013,
2008-07,12.869,
2008-10,12.578,
2009-01,12.470,
2009-04,13.488,
2009-07,13.272,
2009-10,13.170,
2010-01,13.031,
2010-04,12.959,
2010-07,13.241,
2010-10,13.167,
2011-01,12.895,
2011-04,12.888,
2011-07,12.897,
2011-10,12.727,
2012-01,12.723,
2012-04,12.748,
2012-07,12.927,
2012-10,12.856,
2013-01,13.133,
2013-04,13.099,
2013-07,13.243,
2013-10,13.150,
2014-01,13.301,
2014-04,13.603,
2014-07,13.783,
