"",BBK01.OEAH32M,BBK01.OEAH32M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:49,
2002-01,4.521,
2002-04,4.834,
2002-07,5.408,
2002-10,5.591,
2003-01,4.681,
2003-04,4.574,
2003-07,4.504,
2003-10,4.128,
2004-01,3.866,
2004-04,3.609,
2004-07,3.947,
2004-10,4.258,
2005-01,3.770,
2005-04,4.063,
2005-07,4.199,
2005-10,4.963,
2006-01,5.301,
2006-04,5.413,
2006-07,5.931,
2006-10,5.366,
2007-01,6.500,
2007-04,5.521,
2007-07,6.541,
2007-10,7.746,
2008-01,8.156,
2008-04,8.158,
2008-07,9.906,
2008-10,10.996,
2009-01,10.486,
2009-04,9.589,
2009-07,11.116,
2009-10,7.480,
2010-01,8.441,
2010-04,7.245,
2010-07,9.989,
2010-10,8.437,
2011-01,10.338,
2011-04,9.532,
2011-07,10.818,
2011-10,11.798,
2012-01,13.237,
2012-04,14.445,
2012-07,10.706,
2012-10,12.463,
2013-01,9.189,
2013-04,8.649,
2013-07,6.206,
2013-10,6.648,
2014-01,7.229,
2014-04,7.922,
2014-07,7.469,
