"",BBFN1.M.DE.N.1.L.W00200.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
1995-03,26.778,
1995-04,28.206,
1995-05,28.469,
1995-06,27.384,
1995-07,27.360,
1995-08,26.974,
1995-09,27.683,
1995-10,28.173,
1995-11,28.482,
1995-12,28.338,
1996-01,27.730,
1996-02,29.674,
1996-03,30.213,
1996-04,31.863,
1996-05,34.105,
1996-06,32.065,
1996-07,29.696,
1996-08,30.746,
1996-09,32.984,
1996-10,34.072,
1996-11,35.158,
1996-12,39.470,
1997-01,39.107,
1997-02,41.707,
1997-03,44.076,
1997-04,44.835,
1997-05,43.047,
1997-06,43.314,
1997-07,42.357,
1997-08,38.736,
1997-09,41.872,
1997-10,36.988,
1997-11,38.828,
1997-12,44.030,
1998-01,40.808,
1998-02,42.686,
1998-03,49.387,
1998-04,52.494,
1998-05,57.109,
1998-06,53.162,
1998-07,48.430,
1998-08,46.498,
1998-09,49.248,
1998-10,44.954,
1998-11,48.157,
1998-12,45.439,
1999-01,47.802,
1999-02,50.599,
1999-03,57.006,
1999-04,63.903,
1999-05,68.382,
1999-06,71.602,
1999-07,63.220,
1999-08,63.125,
1999-09,62.891,
1999-10,64.745,
1999-11,69.394,
1999-12,76.239,
2000-01,74.420,
2000-02,76.164,
2000-03,89.083,
2000-04,95.925,
2000-05,109.208,
2000-06,121.544,
2000-07,109.967,
2000-08,127.594,
2000-09,144.701,
2000-10,147.894,
2000-11,147.959,
2000-12,143.039,
2001-01,148.783,
2001-02,156.106,
2001-03,152.592,
2001-04,153.188,
2001-05,152.171,
2001-06,154.820,
2001-07,153.083,
2001-08,150.052,
2001-09,157.098,
2001-10,154.083,
2001-11,141.593,
2001-12,147.854,
2002-01,139.349,
2002-02,141.426,
2002-03,143.079,
2002-04,146.526,
2002-05,140.559,
2002-06,138.712,
2002-07,131.328,
2002-08,129.987,
2002-09,134.886,
2002-10,135.577,
2002-11,133.156,
2002-12,130.549,
2003-01,136.345,
2003-02,137.924,
2003-03,139.618,
2003-04,140.603,
2003-05,146.175,
2003-06,148.892,
2003-07,150.942,
2003-08,149.926,
2003-09,152.954,
2003-10,138.903,
2003-11,143.640,
2003-12,143.469,
2004-01,143.169,
2004-02,148.427,
2004-03,143.716,
2004-04,138.477,
2004-05,140.038,
2004-06,141.998,
2004-07,144.285,
2004-08,144.185,
2004-09,139.932,
2004-10,136.713,
2004-11,138.550,
2004-12,138.545,
2005-01,133.038,
2005-02,131.560,
2005-03,134.380,
2005-04,128.828,
2005-05,131.587,
2005-06,135.148,
2005-07,134.577,
2005-08,133.308,
2005-09,139.092,
2005-10,141.165,
2005-11,140.436,
2005-12,152.010,
2006-01,147.177,
2006-02,152.145,
2006-03,149.334,
2006-04,147.957,
2006-05,159.213,
2006-06,156.880,
2006-07,154.579,
2006-08,157.040,
2006-09,162.310,
2006-10,161.458,
2006-11,165.718,
2006-12,171.305,
2007-01,176.304,
2007-02,175.230,
2007-03,179.754,
2007-04,179.645,
2007-05,181.169,
2007-06,185.215,
2007-07,186.493,
2007-08,186.183,
2007-09,182.043,
2007-10,181.777,
2007-11,177.741,
2007-12,173.621,
2008-01,167.728,
2008-02,162.980,
2008-03,165.101,
2008-04,169.962,
2008-05,166.859,
2008-06,170.212,
2008-07,167.290,
2008-08,167.210,
2008-09,169.085,
2008-10,165.989,
2008-11,168.182,
2008-12,169.176,
2009-01,162.855,
2009-02,165.446,
2009-03,165.505,
2009-04,166.357,
2009-05,167.115,
2009-06,166.230,
2009-07,164.944,
2009-08,164.647,
2009-09,167.456,
2009-10,170.391,
2009-11,170.143,
2009-12,177.578,
2010-01,176.681,
2010-02,176.801,
2010-03,176.783,
2010-04,174.087,
2010-05,178.004,
2010-06,174.622,
2010-07,172.948,
2010-08,178.726,
2010-09,183.627,
2010-10,181.077,
2010-11,186.803,
2010-12,187.377,
2011-01,188.020,
2011-02,186.633,
2011-03,184.263,
2011-04,185.344,
2011-05,187.495,
2011-06,199.025,
2011-07,200.410,
2011-08,203.503,
2011-09,209.978,
2011-10,201.970,
2011-11,211.928,
2011-12,215.284,
2012-01,214.090,
2012-02,211.385,
2012-03,214.751,
2012-04,208.415,
2012-05,210.380,
2012-06,218.284,
2012-07,223.405,
2012-08,220.568,
2012-09,222.527,
2012-10,224.320,
2012-11,227.382,
2012-12,229.400,
2013-01,225.588,
2013-02,223.140,
2013-03,228.964,
2013-04,229.620,
2013-05,236.318,
2013-06,238.454,
2013-07,234.184,
2013-08,232.730,
2013-09,232.632,
2013-10,227.792,
2013-11,229.909,
2013-12,232.146,
2014-01,226.692,
2014-02,232.755,
2014-03,230.833,
2014-04,230.090,
2014-05,231.332,
2014-06,234.946,
2014-07,232.194,
2014-08,240.635,
2014-09,228.217,
2014-10,224.151,
2014-11,224.112,
2014-12,209.874,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
