"",BBK01.OEAH51G,BBK01.OEAH51G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:25,
2002-01,0.114,
2002-04,0.113,
2002-07,0.109,
2002-10,0.113,
2003-01,0.102,
2003-04,0.097,
2003-07,0.092,
2003-10,0.090,
2004-01,0.075,
2004-04,0.066,
2004-07,0.060,
2004-10,0.064,
2005-01,0.061,
2005-04,0.064,
2005-07,0.063,
2005-10,0.080,
2006-01,0.097,
2006-04,0.114,
2006-07,0.138,
2006-10,0.174,
2007-01,0.216,
2007-04,0.256,
2007-07,0.297,
2007-10,0.361,
2008-01,0.412,
2008-04,0.485,
2008-07,0.531,
2008-10,0.719,
2009-01,0.698,
2009-04,0.572,
2009-07,0.456,
2009-10,0.289,
2010-01,0.216,
2010-04,0.187,
2010-07,0.175,
2010-10,0.158,
2011-01,0.155,
2011-04,0.174,
2011-07,0.195,
2011-10,0.243,
2012-01,0.243,
2012-04,0.225,
2012-07,0.198,
2012-10,0.167,
2013-01,0.132,
2013-04,0.113,
2013-07,0.096,
2013-10,0.089,
2014-01,0.080,
2014-04,0.073,
2014-07,0.064,
