"",BBK01.OEBJ04L,BBK01.OEBJ04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:24,
2002-01,17.710,
2002-04,20.711,
2002-07,22.957,
2002-10,21.836,
2003-01,21.691,
2003-04,23.025,
2003-07,28.072,
2003-10,25.368,
2004-01,21.353,
2004-04,22.014,
2004-07,22.335,
2004-10,24.896,
2005-01,24.275,
2005-04,29.177,
2005-07,29.413,
2005-10,26.850,
2006-01,33.056,
2006-04,31.933,
2006-07,33.550,
2006-10,29.002,
2007-01,27.775,
2007-04,29.215,
2007-07,31.073,
2007-10,38.577,
2008-01,38.411,
2008-04,38.438,
2008-07,32.675,
2008-10,37.427,
2009-01,36.030,
2009-04,30.934,
2009-07,33.813,
2009-10,29.852,
2010-01,28.645,
2010-04,28.417,
2010-07,26.542,
2010-10,28.481,
2011-01,21.398,
2011-04,42.593,
2011-07,36.288,
2011-10,35.834,
2012-01,27.947,
2012-04,29.052,
2012-07,25.248,
2012-10,28.927,
2013-01,34.830,
2013-04,48.145,
2013-07,16.667,
2013-10,17.006,
2014-01,18.777,
2014-04,17.727,
2014-07,21.026,
