"",BBDE1.M.DE.Y.GUD1.A2P350000.F.V.I10.A,BBDE1.M.DE.Y.GUD1.A2P350000.F.V.I10.A_FLAGS
"","Turnover from abroad, Euro-area countries / At current prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:58,
2003-01,76.5,
2003-02,73.7,
2003-03,73.5,
2003-04,74.6,
2003-05,70.6,
2003-06,72.8,
2003-07,74.3,
2003-08,72.1,
2003-09,74.8,
2003-10,75.0,
2003-11,73.6,
2003-12,75.2,
2004-01,75.4,
2004-02,77.1,
2004-03,78.1,
2004-04,78.5,
2004-05,80.3,
2004-06,80.6,
2004-07,81.4,
2004-08,78.8,
2004-09,79.4,
2004-10,80.1,
2004-11,80.7,
2004-12,82.8,
2005-01,82.1,
2005-02,82.7,
2005-03,83.1,
2005-04,80.9,
2005-05,83.4,
2005-06,82.3,
2005-07,84.1,
2005-08,84.0,
2005-09,84.0,
2005-10,84.6,
2005-11,86.7,
2005-12,85.5,
2006-01,85.6,
2006-02,87.6,
2006-03,87.4,
2006-04,88.9,
2006-05,89.0,
2006-06,90.0,
2006-07,89.9,
2006-08,94.1,
2006-09,93.7,
2006-10,93.1,
2006-11,92.9,
2006-12,89.6,
2007-01,96.8,
2007-02,99.3,
2007-03,96.4,
2007-04,94.8,
2007-05,97.7,
2007-06,96.9,
2007-07,96.6,
2007-08,98.9,
2007-09,98.6,
2007-10,99.3,
2007-11,100.6,
2007-12,101.1,
2008-01,100.2,
2008-02,100.7,
2008-03,99.1,
2008-04,99.6,
2008-05,97.8,
2008-06,98.2,
2008-07,99.4,
2008-08,102.6,
2008-09,101.1,
2008-10,101.2,
2008-11,98.9,
2008-12,106.5,
2009-01,97.0,
2009-02,93.4,
2009-03,93.0,
2009-04,96.1,
2009-05,94.3,
2009-06,94.6,
2009-07,92.2,
2009-08,92.8,
2009-09,92.9,
2009-10,95.0,
2009-11,97.8,
2009-12,99.8,
2010-01,97.9,
2010-02,96.4,
2010-03,98.6,
2010-04,97.9,
2010-05,98.3,
2010-06,99.9,
2010-07,101.0,
2010-08,103.1,
2010-09,101.7,
2010-10,99.8,
2010-11,100.8,
2010-12,98.1,
2011-01,104.2,
2011-02,106.3,
2011-03,106.0,
2011-04,108.3,
2011-05,106.1,
2011-06,105.8,
2011-07,108.1,
2011-08,105.0,
2011-09,102.9,
2011-10,106.7,
2011-11,107.3,
2011-12,106.8,
2012-01,105.1,
2012-02,105.6,
2012-03,106.9,
2012-04,104.9,
2012-05,111.2,
2012-06,108.0,
2012-07,109.7,
2012-08,107.2,
2012-09,108.3,
2012-10,109.2,
2012-11,109.3,
2012-12,113.5,
2013-01,108.0,
2013-02,108.5,
2013-03,104.5,
2013-04,108.8,
2013-05,113.9,
2013-06,108.8,
2013-07,109.0,
2013-08,109.1,
2013-09,108.3,
2013-10,110.6,
2013-11,115.2,
2013-12,117.6,
2014-01,111.6,
2014-02,111.3,
2014-03,112.6,
2014-04,112.9,
2014-05,111.6,
2014-06,110.8,
2014-07,112.3,
2014-08,113.5,
2014-09,113.2,
2014-10,110.8,
2014-11,113.3,
2014-12,115.9,Provisional value
