"",BBK01.OEHK04N,BBK01.OEHK04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:45,
2002-01,3.236,
2002-04,3.151,
2002-07,3.182,
2002-10,3.174,
2003-01,3.206,
2003-04,3.124,
2003-07,2.978,
2003-10,2.975,
2004-01,2.929,
2004-04,2.762,
2004-07,2.621,
2004-10,2.548,
2005-01,2.546,
2005-04,2.448,
2005-07,2.408,
2005-10,2.490,
2006-01,2.554,
2006-04,2.618,
2006-07,2.771,
2006-10,2.851,
2007-01,3.137,
2007-04,3.354,
2007-07,3.792,
2007-10,4.054,
2008-01,4.096,
2008-04,4.313,
2008-07,4.560,
2008-10,4.946,
2009-01,3.720,
2009-04,2.942,
2009-07,2.320,
2009-10,1.937,
2010-01,1.823,
2010-04,1.574,
2010-07,1.572,
2010-10,1.651,
2011-01,1.778,
2011-04,1.926,
2011-07,2.167,
2011-10,2.143,
2012-01,1.978,
2012-04,1.762,
2012-07,1.625,
2012-10,1.497,
2013-01,1.534,
2013-04,1.411,
2013-07,1.283,
2013-10,1.273,
2014-01,1.172,
2014-04,1.206,
2014-07,1.154,
