"",BBK01.OELL04S,BBK01.OELL04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:03,
2002-01,0.228,
2002-04,0.230,
2002-07,0.239,
2002-10,0.247,
2003-01,0.249,
2003-04,0.242,
2003-07,0.240,
2003-10,0.241,
2004-01,0.238,
2004-04,0.231,
2004-07,0.223,
2004-10,0.221,
2005-01,0.215,
2005-04,0.192,
2005-07,0.204,
2005-10,0.199,
2006-01,0.202,
2006-04,0.203,
2006-07,0.203,
2006-10,0.192,
2007-01,0.183,
2007-04,0.189,
2007-07,0.187,
2007-10,0.209,
2008-01,0.204,
2008-04,0.210,
2008-07,0.150,
2008-10,0.188,
2009-01,0.188,
2009-04,0.170,
2009-07,0.146,
2009-10,0.118,
2010-01,0.111,
2010-04,0.108,
2010-07,0.102,
2010-10,0.100,
2011-01,0.103,
2011-04,0.101,
2011-07,0.098,
2011-10,0.120,
2012-01,0.126,
2012-04,0.123,
2012-07,0.114,
2012-10,0.104,
2013-01,0.098,
2013-04,0.095,
2013-07,0.093,
2013-10,0.088,
2014-01,0.089,
2014-04,0.091,
2014-07,0.090,
