"",BBK01.OEAH94M,BBK01.OEAH94M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:10,
2002-01,0.132,
2002-04,0.130,
2002-07,0.125,
2002-10,0.110,
2003-01,0.104,
2003-04,0.102,
2003-07,0.097,
2003-10,0.096,
2004-01,0.104,
2004-04,0.101,
2004-07,0.157,
2004-10,0.167,
2005-01,0.164,
2005-04,0.201,
2005-07,0.188,
2005-10,0.192,
2006-01,0.185,
2006-04,0.182,
2006-07,0.182,
2006-10,0.164,
2007-01,0.161,
2007-04,0.167,
2007-07,0.194,
2007-10,0.210,
2008-01,0.219,
2008-04,0.218,
2008-07,0.245,
2008-10,0.252,
2009-01,0.243,
2009-04,0.247,
2009-07,0.247,
2009-10,0.253,
2010-01,0.257,
2010-04,0.256,
2010-07,0.240,
2010-10,0.237,
2011-01,0.219,
2011-04,0.224,
2011-07,0.224,
2011-10,0.224,
2012-01,0.221,
2012-04,0.220,
2012-07,0.215,
2012-10,0.154,
2013-01,0.150,
2013-04,0.147,
2013-07,0.140,
2013-10,0.137,
2014-01,0.135,
2014-04,0.128,
2014-07,0.080,
