"",BBK01.OEHB18G,BBK01.OEHB18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:09,
2002-01,2.375,
2002-04,2.437,
2002-07,2.497,
2002-10,2.522,
2003-01,2.469,
2003-04,2.451,
2003-07,2.448,
2003-10,2.353,
2004-01,2.201,
2004-04,2.129,
2004-07,2.085,
2004-10,1.968,
2005-01,1.871,
2005-04,1.836,
2005-07,1.859,
2005-10,1.805,
2006-01,1.695,
2006-04,1.726,
2006-07,1.706,
2006-10,1.683,
2007-01,1.607,
2007-04,1.588,
2007-07,1.572,
2007-10,1.554,
2008-01,1.517,
2008-04,1.517,
2008-07,1.521,
2008-10,1.522,
2009-01,1.535,
2009-04,1.554,
2009-07,1.543,
2009-10,1.461,
2010-01,1.388,
2010-04,1.412,
2010-07,1.381,
2010-10,1.300,
2011-01,1.276,
2011-04,1.307,
2011-07,1.312,
2011-10,1.245,
2012-01,1.230,
2012-04,1.221,
2012-07,1.216,
2012-10,1.163,
2013-01,1.166,
2013-04,1.140,
2013-07,1.144,
2013-10,1.085,
2014-01,1.115,
2014-04,1.109,
2014-07,1.091,
