"",BBDE1.M.DE.W.AEN1.A2P310000.F.V.I10.A,BBDE1.M.DE.W.AEN1.A2P310000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Intermediate goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:57,
2010-01,90.4,
2010-02,90.1,
2010-03,102.6,
2010-04,98.6,
2010-05,99.9,
2010-06,102.0,
2010-07,106.0,
2010-08,97.3,
2010-09,103.1,
2010-10,106.5,
2010-11,107.6,
2010-12,90.0,
2011-01,115.5,
2011-02,110.9,
2011-03,119.6,
2011-04,113.7,
2011-05,110.8,
2011-06,110.6,
2011-07,116.6,
2011-08,107.1,
2011-09,107.1,
2011-10,108.5,
2011-11,108.4,
2011-12,89.1,
2012-01,110.0,
2012-02,104.1,
2012-03,113.9,
2012-04,108.5,
2012-05,107.1,
2012-06,104.7,
2012-07,105.3,
2012-08,97.9,
2012-09,101.7,
2012-10,103.6,
2012-11,104.3,
2012-12,86.6,
2013-01,105.8,
2013-02,102.2,
2013-03,109.8,
2013-04,102.4,
2013-05,102.0,
2013-06,103.4,
2013-07,104.9,
2013-08,97.3,
2013-09,101.7,
2013-10,104.5,
2013-11,105.7,
2013-12,88.2,
2014-01,107.1,
2014-02,104.2,
2014-03,109.5,
2014-04,103.6,
2014-05,101.2,
2014-06,102.6,
2014-07,104.5,
2014-08,96.2,
2014-09,97.7,
2014-10,101.1,
2014-11,101.0,
2014-12,87.1,Provisional value
