"",BBEX3.M.CVE.USD.CA.AA.A01,BBEX3.M.CVE.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Cabo Verde / USD 1 = CVE ... (buying),
unit,CVE (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:55,
1981-01,44.110,
1981-02,45.240,
1981-03,45.660,
1981-04,46.940,
1981-05,48.590,
1981-06,49.680,
1981-07,51.250,
1981-08,51.610,
1981-09,50.370,
1981-10,50.910,
1981-11,49.940,
1981-12,50.560,
1982-01,51.750,
1982-02,53.020,
1982-03,54.380,
1982-04,53.890,
1982-05,54.020,
1982-06,60.390,
1982-07,60.380,
1982-08,61.330,
1982-09,62.340,
1982-10,63.620,
1982-11,64.000,
1982-12,62.730,
1983-01,64.600,
1983-02,64.670,
1983-03,67.440,
1983-04,68.000,
1983-05,68.550,
1983-06,72.320,
1983-07,74.080,
1983-08,75.960,
1983-09,75.750,
1983-10,75.820,
1983-11,78.170,
1983-12,79.670,
1984-01,81.710,
1984-02,77.910,
1984-03,77.950,
1984-04,80.570,
1984-05,82.170,
1984-06,84.050,
1984-07,86.150,
1984-08,85.940,
1984-09,88.960,
1984-10,90.460,
1984-11,90.880,
1984-12,92.710,
1985-01,93.720,
1985-02,97.730,
1985-03,93.650,
1985-04,94.510,
1985-05,92.840,
1985-06,93.110,
1985-07,89.260,
1985-08,88.630,
1985-09,88.740,
1985-10,87.040,
1985-11,85.560,
1985-12,85.070,
1986-01,83.700,
1986-02,80.540,
1986-03,81.870,
1986-04,79.290,
1986-05,81.920,
1986-06,80.860,
1986-07,78.430,
1986-08,77.110,
1986-09,77.380,
1986-10,77.860,
1986-11,77.330,
1986-12,76.260,
1987-01,71.740,
1987-02,72.970,
1987-03,72.050,
1987-04,71.680,
1987-05,72.730,
1987-06,73.240,
1987-07,74.220,
1987-08,73.000,
1987-09,73.110,
1987-10,71.230,
1987-11,68.250,
1987-12,65.470,
1988-01,68.650,
1988-02,69.280,
1988-03,68.160,
1988-04,68.120,
