"",BBK01.OEXB21K,BBK01.OEXB21K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:34,
2002-01,0.604,
2002-04,0.497,
2002-07,0.002,
2002-10,0.021,
2003-01,0.054,
2003-04,0.078,
2003-07,0.056,
2003-10,0.379,
2004-01,0.103,
2004-04,0.115,
2004-07,0.088,
2004-10,0.102,
2005-01,0.045,
2005-04,0.089,
2005-07,0.068,
2005-10,0.010,
2006-01,0.109,
2006-04,0.007,
2006-07,0.008,
2006-10,0.034,
2007-01,0.008,
2007-04,0.006,
2007-07,0.054,
2007-10,0.155,
2008-01,0.055,
2008-04,0.165,
2008-07,0.176,
2008-10,0.758,
2009-01,1.665,
2009-04,1.443,
2009-07,1.755,
2009-10,1.874,
2010-01,2.029,
2010-04,2.229,
2010-07,0.361,
2010-10,0.509,
2011-01,0.043,
2011-04,0.006,
2011-07,0.055,
2011-10,0.055,
2012-01,0.055,
2012-04,0.105,
2012-07,0.140,
2012-10,0.060,
2013-01,0.105,
2013-04,0.101,
2013-07,0.105,
2013-10,0.104,
2014-01,0.162,
2014-04,0.237,
2014-07,0.298,
