"",BBK01.OEHB04Q,BBK01.OEHB04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:46,
2002-01,21.552,
2002-04,21.603,
2002-07,21.694,
2002-10,22.074,
2003-01,22.059,
2003-04,22.168,
2003-07,22.285,
2003-10,22.454,
2004-01,22.378,
2004-04,22.426,
2004-07,22.441,
2004-10,22.459,
2005-01,22.417,
2005-04,22.518,
2005-07,22.593,
2005-10,22.632,
2006-01,22.536,
2006-04,22.635,
2006-07,22.692,
2006-10,22.629,
2007-01,22.527,
2007-04,22.475,
2007-07,22.386,
2007-10,22.447,
2008-01,22.467,
2008-04,22.513,
2008-07,22.738,
2008-10,22.674,
2009-01,22.644,
2009-04,22.890,
2009-07,23.179,
2009-10,23.301,
2010-01,23.419,
2010-04,23.746,
2010-07,24.224,
2010-10,24.361,
2011-01,24.418,
2011-04,24.457,
2011-07,24.509,
2011-10,24.557,
2012-01,24.605,
2012-04,24.656,
2012-07,24.812,
2012-10,24.902,
2013-01,24.910,
2013-04,24.904,
2013-07,25.049,
2013-10,25.092,
2014-01,25.142,
2014-04,25.346,
2014-07,25.552,
