"",BBK01.OEAC17L,BBK01.OEAC17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:25,
2002-01,9.298,
2002-04,9.306,
2002-07,8.284,
2002-10,7.380,
2003-01,7.161,
2003-04,6.973,
2003-07,6.791,
2003-10,6.160,
2004-01,6.929,
2004-04,6.049,
2004-07,6.155,
2004-10,6.000,
2005-01,5.481,
2005-04,7.308,
2005-07,8.055,
2005-10,6.491,
2006-01,7.176,
2006-04,8.386,
2006-07,8.063,
2006-10,6.971,
2007-01,7.852,
2007-04,8.077,
2007-07,7.554,
2007-10,8.569,
2008-01,10.379,
2008-04,12.051,
2008-07,10.956,
2008-10,10.600,
2009-01,11.062,
2009-04,11.203,
2009-07,10.171,
2009-10,6.334,
2010-01,5.320,
2010-04,5.165,
2010-07,4.750,
2010-10,4.512,
2011-01,5.572,
2011-04,4.882,
2011-07,4.802,
2011-10,4.135,
2012-01,4.386,
2012-04,4.271,
2012-07,4.202,
2012-10,4.623,
2013-01,4.619,
2013-04,4.669,
2013-07,4.128,
2013-10,3.949,
2014-01,3.917,
2014-04,4.243,
2014-07,3.694,
