"",BBK01.OEBO01Q,BBK01.OEBO01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:58,
2002-01,2.654,
2002-04,2.603,
2002-07,2.441,
2002-10,2.470,
2003-01,2.571,
2003-04,2.621,
2003-07,2.576,
2003-10,2.571,
2004-01,2.533,
2004-04,2.468,
2004-07,2.391,
2004-10,2.449,
2005-01,4.160,
2005-04,4.108,
2005-07,4.032,
2005-10,4.014,
2006-01,4.002,
2006-04,4.056,
2006-07,3.993,
2006-10,3.930,
2007-01,3.912,
2007-04,4.098,
2007-07,4.121,
2007-10,4.103,
2008-01,4.248,
2008-04,4.293,
2008-07,4.345,
2008-10,4.333,
2009-01,4.683,
2009-04,4.891,
2009-07,5.059,
2009-10,5.256,
2010-01,5.218,
2010-04,5.194,
2010-07,5.137,
2010-10,5.136,
2011-01,5.343,
2011-04,5.378,
2011-07,5.216,
2011-10,5.147,
2012-01,5.118,
2012-04,5.257,
2012-07,5.153,
2012-10,5.100,
2013-01,5.137,
2013-04,4.953,
2013-07,4.819,
2013-10,4.733,
2014-01,4.712,
2014-04,4.663,
2014-07,4.581,
