"",BBK01.TYI311,BBK01.TYI311_FLAGS
"",Lending to enterprises and households / Total/ German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:50,
1980-01,0,
1980-02,4601,
1980-03,6296,
1980-04,4808,
1980-05,4194,
1980-06,7522,
1980-07,1253,
1980-08,2158,
1980-09,5685,
1980-10,5083,
1980-11,7499,
1980-12,12947,
1981-01,-1440,
1981-02,6526,
1981-03,4146,
1981-04,2392,
1981-05,2801,
1981-06,8398,
1981-07,1115,
1981-08,3204,
1981-09,5223,
1981-10,3265,
1981-11,1715,
1981-12,9750,
1982-01,-2233,
1982-02,908,
1982-03,1995,
1982-04,942,
1982-05,2122,
1982-06,7881,
1982-07,2807,
1982-08,1898,
1982-09,5200,
1982-10,4043,
1982-11,170,
1982-12,11439,
1983-01,-5243,
1983-02,1224,
1983-03,2957,
1983-04,2913,
1983-05,3232,
1983-06,9953,
1983-07,2023,
1983-08,3792,
1983-09,7911,
1983-10,3648,
1983-11,3988,
1983-12,13264,
1984-01,-4763,
1984-02,2955,
1984-03,4833,
1984-04,2218,
1984-05,4257,
1984-06,7402,
1984-07,2317,
1984-08,3181,
1984-09,7745,
1984-10,3014,
1984-11,3304,
1984-12,11662,
1985-01,-2879,
1985-02,4242,
1985-03,5660,
1985-04,695,
1985-05,2632,
1985-06,8304,
1985-07,-961,
1985-08,1436,
1985-09,4970,
1985-10,4499,
1985-11,4917,
1985-12,8400,
1986-01,-4911,
1986-02,2159,
1986-03,5139,
1986-04,2142,
1986-05,3207,
1986-06,8675,
1986-07,1014,
1986-08,2163,
1986-09,4022,
1986-10,1608,
1986-11,3879,
1986-12,7655,
1987-01,-2447,
1987-02,-670,
1987-03,2299,
1987-04,174,
1987-05,1103,
1987-06,6524,
1987-07,1502,
1987-08,3976,
1987-09,7489,
1987-10,3447,
1987-11,212,
1987-12,6629,
1988-01,-3356,
1988-02,1137,
1988-03,5031,
1988-04,932,
1988-05,2722,
1988-06,9869,
1988-07,1095,
1988-08,2680,
1988-09,6967,
1988-10,1665,
1988-11,4418,
1988-12,12003,
1989-01,-2712,
1989-02,4411,
1989-03,5340,
1989-04,4257,
1989-05,4376,
1989-06,10465,
1989-07,1728,
1989-08,3193,
1989-09,11050,
1989-10,4839,
1989-11,7250,
1989-12,17029,
1990-01,3943,
1990-02,7092,
1990-03,8158,
1990-04,3696,
1990-05,3441,
1990-06,11416,
1990-07,4304,
