"",BBDE1.M.DE.Y.GUA1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.GUA1.A2P310000.F.V.I10.A_FLAGS
"",Turnover / At current prices / Germany / Intermediate goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:47,
1991-01,68.8,
1991-02,68.0,
1991-03,68.3,
1991-04,67.2,
1991-05,67.1,
1991-06,68.1,
1991-07,67.0,
1991-08,66.5,
1991-09,66.4,
1991-10,67.3,
1991-11,68.3,
1991-12,66.8,
1992-01,68.9,
1992-02,68.8,
1992-03,67.9,
1992-04,67.4,
1992-05,67.0,
1992-06,66.2,
1992-07,65.3,
1992-08,65.2,
1992-09,64.8,
1992-10,63.9,
1992-11,63.6,
1992-12,64.1,
1993-01,62.9,
1993-02,61.8,
1993-03,61.9,
1993-04,61.8,
1993-05,60.9,
1993-06,60.8,
1993-07,60.3,
1993-08,61.4,
1993-09,61.7,
1993-10,61.6,
1993-11,61.4,
1993-12,62.5,
1994-01,64.3,
1994-02,64.0,
1994-03,64.9,
1994-04,65.4,
1994-05,65.8,
1994-06,65.5,
1994-07,65.8,
1994-08,67.4,
1994-09,69.2,
1994-10,69.8,
1994-11,71.4,
1994-12,73.4,
1995-01,71.4,
1995-02,72.7,
1995-03,71.9,
1995-04,71.2,
1995-05,72.3,
1995-06,72.2,
1995-07,71.1,
1995-08,70.7,
1995-09,71.2,
1995-10,69.0,
1995-11,68.4,
1995-12,68.2,
1996-01,67.1,
1996-02,65.1,
1996-03,66.2,
1996-04,67.6,
1996-05,68.0,
1996-06,67.6,
1996-07,67.1,
1996-08,67.9,
1996-09,68.6,
1996-10,68.1,
1996-11,68.1,
1996-12,68.2,
1997-01,67.2,
1997-02,69.3,
1997-03,70.0,
1997-04,70.3,
1997-05,70.1,
1997-06,71.6,
1997-07,72.6,
1997-08,71.8,
1997-09,72.4,
1997-10,73.4,
1997-11,73.4,
1997-12,75.1,
1998-01,74.1,
1998-02,74.2,
