"",BBK01.OEYM05K,BBK01.OEYM05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:57,
2002-01,1.796,
2002-04,1.802,
2002-07,1.969,
2002-10,1.955,
2003-01,1.938,
2003-04,1.935,
2003-07,1.954,
2003-10,2.001,
2004-01,1.661,
2004-04,1.622,
2004-07,0.669,
2004-10,0.566,
2005-01,0.572,
2005-04,0.542,
2005-07,0.543,
2005-10,0.523,
2006-01,0.575,
2006-04,0.550,
2006-07,0.553,
2006-10,0.567,
2007-01,0.595,
2007-04,0.613,
2007-07,0.624,
2007-10,0.633,
2008-01,0.676,
2008-04,0.666,
2008-07,0.654,
2008-10,0.181,
2009-01,0.096,
2009-04,0.103,
2009-07,0.103,
2009-10,0.098,
2010-01,0.098,
2010-04,0.098,
2010-07,0.098,
2010-10,0.098,
2011-01,0.099,
2011-04,0.092,
2011-07,0.089,
2011-10,0.099,
2012-01,0.099,
2012-04,0.098,
2012-07,0.096,
2012-10,0.076,
2013-01,0.051,
2013-04,0.055,
2013-07,0.117,
2013-10,0.117,
2014-01,0.096,
2014-04,0.085,
2014-07,0.077,
