"",BBK01.CELZ01,BBK01.CELZ01_FLAGS
"",Other accounts receivable excluding trade credits and advances                                                debtor: Total            creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:36,
1999-01,-9.8,
1999-04,-9.0,
1999-07,11.4,
1999-10,48.2,
2000-01,-24.7,
2000-04,22.3,
2000-07,-24.2,
2000-10,-9.6,
2001-01,2.6,
2001-04,-16.7,
2001-07,16.9,
2001-10,10.0,
2002-01,-12.5,
2002-04,-2.1,
2002-07,-0.6,
2002-10,16.8,
2003-01,33.8,
2003-04,23.7,
2003-07,-10.1,
2003-10,24.4,
2004-01,-7.1,
2004-04,-3.9,
2004-07,10.4,
2004-10,33.4,
2005-01,-9.4,
2005-04,-1.3,
2005-07,10.1,
2005-10,-22.8,
2006-01,21.0,
2006-04,13.0,
2006-07,13.1,
2006-10,24.7,
2007-01,18.0,
2007-04,-0.6,
2007-07,22.2,
2007-10,51.8,
2008-01,5.9,
2008-04,-0.9,
2008-07,3.4,
2008-10,8.0,
2009-01,11.1,
2009-04,14.2,
2009-07,15.3,
2009-10,22.5,
2010-01,-5.0,
2010-04,-26.1,
2010-07,19.5,
2010-10,-15.3,
2011-01,43.1,
2011-04,-0.7,
2011-07,-35.5,
2011-10,9.1,
2012-01,20.1,
2012-04,-29.6,
2012-07,41.1,
2012-10,41.8,
2013-01,25.9,
2013-04,28.3,
2013-07,54.1,
2013-10,25.4,
2014-01,-2.2,
2014-04,-20.5,
2014-07,-21.1,
