"",BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:51,
1991-01,-25.191,
1991-04,-6.183,
1991-07,-4.892,
1991-10,-28.784,
1992-01,-31.332,
1992-04,15.843,
1992-07,15.792,
1992-10,16.511,
1993-01,18.471,
1993-04,91.311,
1993-07,92.581,
1993-10,57.338,
1994-01,-80.745,
1994-04,-63.330,
1994-07,-4.703,
1994-10,-7.874,
1995-01,170.816,
1995-04,200.003,
1995-07,208.245,
1995-10,205.873,
1996-01,-6.610,
1996-04,-0.695,
1996-07,0.287,
1996-10,-5.883,
1997-01,-184.574,
1997-04,-190.213,
1997-07,-184.574,
1997-10,-184.574,
1998-01,-403.234,
1998-04,-245.279,
1998-07,-38.608,
1998-10,-210.024,
1999-01,-280.465,
1999-04,-53.863,
1999-07,128.000,
1999-10,101.949,
2000-01,13.470,
2000-04,96.319,
2000-07,195.000,
2000-10,193.949,
2001-01,-20.424,
2001-04,40.779,
2001-07,119.199,
2001-10,-125.580,
2002-01,-0.501,
2002-04,0.509,
2002-07,93.318,
2002-10,-229.999,
2003-01,-33.296,
2003-04,-158.897,
2003-07,10.555,
2003-10,101.270,
2004-01,538.126,
2004-04,391.078,
2004-07,401.595,
2004-10,613.713,
2005-01,-296.917,
2005-04,63.617,
2005-07,-400.651,
2005-10,111.652,
2006-01,64.373,
2006-04,95.877,
2006-07,-414.236,
2006-10,4.833,
2007-01,180.503,
2007-04,197.007,
2007-07,315.983,
2007-10,-40.718,
2008-01,-907.102,
2008-04,-130.585,
2008-07,-285.409,
2008-10,-506.990,
2009-01,-230.154,
2009-04,-230.240,
2009-07,-74.293,
2009-10,-149.062,
2010-01,-114.180,
2010-04,148.506,
2010-07,199.976,
2010-10,-43.804,
2011-01,175.673,
2011-04,20.419,
2011-07,143.286,
2011-10,48.474,
2012-01,275.006,
2012-04,150.001,
2012-07,-29.575,
2012-10,-112.721,
2013-01,291.528,
2013-04,486.299,
2013-07,96.545,
2013-10,445.988,
2014-01,425.642,
2014-04,337.751,
2014-07,166.863,
2014-10,188.919,
