"",BBK01.OEAO01J,BBK01.OEAO01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:15,
2002-01,5.431,
2002-04,5.409,
2002-07,5.277,
2002-10,5.279,
2003-01,5.459,
2003-04,5.543,
2003-07,5.523,
2003-10,5.549,
2004-01,5.637,
2004-04,5.665,
2004-07,6.083,
2004-10,5.729,
2005-01,6.240,
2005-04,6.212,
2005-07,6.258,
2005-10,6.236,
2006-01,6.382,
2006-04,6.396,
2006-07,6.373,
2006-10,6.330,
2007-01,6.334,
2007-04,6.226,
2007-07,6.181,
2007-10,6.076,
2008-01,6.138,
2008-04,5.956,
2008-07,5.766,
2008-10,5.528,
2009-01,5.781,
2009-04,5.884,
2009-07,5.846,
2009-10,5.874,
2010-01,5.866,
2010-04,5.791,
2010-07,5.732,
2010-10,5.657,
2011-01,5.710,
2011-04,5.695,
2011-07,5.651,
2011-10,5.600,
2012-01,5.645,
2012-04,5.711,
2012-07,5.721,
2012-10,5.684,
2013-01,5.707,
2013-04,5.669,
2013-07,5.633,
2013-10,5.623,
2014-01,5.700,
2014-04,5.487,
2014-07,5.465,
