"",BBK01.OELJ03L,BBK01.OELJ03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:33,
2002-01,1.823,
2002-04,1.819,
2002-07,1.832,
2002-10,1.892,
2003-01,1.815,
2003-04,1.798,
2003-07,1.826,
2003-10,1.817,
2004-01,1.724,
2004-04,1.665,
2004-07,1.727,
2004-10,1.624,
2005-01,1.610,
2005-04,1.663,
2005-07,1.723,
2005-10,1.730,
2006-01,1.700,
2006-04,1.680,
2006-07,1.794,
2006-10,1.818,
2007-01,1.837,
2007-04,1.879,
2007-07,2.065,
2007-10,2.131,
2008-01,2.157,
2008-04,2.229,
2008-07,2.661,
2008-10,2.555,
2009-01,2.606,
2009-04,2.380,
2009-07,2.461,
2009-10,2.018,
2010-01,2.024,
2010-04,2.031,
2010-07,2.298,
2010-10,2.234,
2011-01,2.330,
2011-04,2.218,
2011-07,2.340,
2011-10,2.493,
2012-01,1.935,
2012-04,1.899,
2012-07,1.615,
2012-10,1.870,
2013-01,1.646,
2013-04,1.555,
2013-07,1.571,
2013-10,1.708,
2014-01,1.649,
2014-04,1.681,
2014-07,1.580,
