"",BBFN1.M.DE.N.1.A.SI.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SI.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Slovenia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:45,
1995-12,0.287,
1996-01,0.276,
1996-02,0.280,
1996-03,0.288,
1996-04,0.292,
1996-05,0.307,
1996-06,0.321,
1996-07,0.315,
1996-08,0.318,
1996-09,0.326,
1996-10,0.306,
1996-11,0.298,
1996-12,0.279,
1997-01,0.270,
1997-02,0.270,
1997-03,0.292,
1997-04,0.307,
1997-05,0.335,
1997-06,0.349,
1997-07,0.340,
1997-08,0.340,
1997-09,0.337,
1997-10,0.353,
1997-11,0.361,
1997-12,0.358,
1998-01,0.358,
1998-02,0.381,
1998-03,0.396,
1998-04,0.401,
1998-05,0.412,
1998-06,0.417,
1998-07,0.392,
1998-08,0.396,
1998-09,0.382,
1998-10,0.379,
1998-11,0.382,
1998-12,0.392,
1999-01,0.401,
1999-02,0.418,
1999-03,0.427,
1999-04,0.453,
1999-05,0.451,
1999-06,0.451,
1999-07,0.425,
1999-08,0.411,
1999-09,0.453,
1999-10,0.471,
1999-11,0.466,
1999-12,0.446,
2000-01,0.459,
2000-02,0.476,
2000-03,0.483,
2000-04,0.493,
2000-05,0.497,
2000-06,0.495,
2000-07,0.507,
2000-08,0.520,
2000-09,0.516,
2000-10,0.533,
2000-11,0.534,
2000-12,0.501,
2001-01,0.506,
2001-02,0.515,
2001-03,0.500,
2001-04,0.480,
2001-05,0.489,
2001-06,0.502,
2001-07,0.495,
2001-08,0.483,
2001-09,0.508,
2001-10,0.504,
2001-11,0.502,
2001-12,0.496,
2002-01,0.493,
2002-02,0.508,
2002-03,0.509,
2002-04,0.504,
2002-05,0.498,
2002-06,0.495,
2002-07,0.486,
2002-08,0.480,
2002-09,0.497,
2002-10,0.496,
2002-11,0.497,
2002-12,0.483,
2003-01,0.474,
2003-02,0.469,
2003-03,0.491,
2003-04,0.482,
2003-05,0.462,
2003-06,0.459,
2003-07,0.456,
2003-08,0.459,
2003-09,0.465,
2003-10,0.480,
2003-11,0.490,
2003-12,0.465,
2004-01,0.459,
2004-02,0.467,
2004-03,0.494,
2004-04,0.481,
2004-05,0.494,
2004-06,0.484,
2004-07,0.452,
2004-08,0.468,
2004-09,0.437,
2004-10,0.440,
2004-11,0.386,
2004-12,0.364,
2005-01,0.350,
2005-02,0.366,
2005-03,0.382,
2005-04,0.393,
2005-05,0.373,
2005-06,0.381,
2005-07,0.370,
2005-08,0.379,
2005-09,0.369,
2005-10,0.376,
2005-11,0.413,
2005-12,0.375,
2006-01,0.374,
2006-02,0.384,
2006-03,0.393,
2006-04,0.388,
2006-05,0.403,
2006-06,0.401,
2006-07,0.393,
2006-08,0.390,
2006-09,0.428,
2006-10,0.434,
2006-11,0.425,
2006-12,0.406,
2007-01,0.408,
2007-02,0.424,
2007-03,0.432,
2007-04,0.455,
2007-05,0.487,
2007-06,0.495,
2007-07,0.494,
2007-08,0.496,
2007-09,0.510,
2007-10,0.502,
2007-11,0.518,
2007-12,0.485,
2008-01,0.483,
2008-02,0.497,
2008-03,0.528,
2008-04,0.551,
2008-05,0.562,
2008-06,0.568,
2008-07,0.609,
2008-08,0.577,
2008-09,0.597,
2008-10,0.577,
2008-11,0.565,
2008-12,0.523,
2009-01,0.511,
2009-02,0.510,
2009-03,0.507,
2009-04,0.508,
2009-05,0.506,
2009-06,0.547,
2009-07,0.521,
2009-08,0.504,
2009-09,0.516,
2009-10,0.523,
2009-11,0.509,
2009-12,0.486,
2010-01,0.521,
2010-02,0.533,
2010-03,0.563,
2010-04,0.562,
2010-05,0.588,
2010-06,0.614,
2010-07,0.619,
2010-08,0.598,
2010-09,0.599,
2010-10,0.613,
2010-11,0.608,
2010-12,0.580,
2011-01,0.594,
2011-02,0.625,
2011-03,0.636,
2011-04,0.649,
2011-05,0.645,
2011-06,0.660,
2011-07,0.660,
2011-08,0.643,
2011-09,0.665,
2011-10,0.633,
2011-11,0.660,
2011-12,0.618,
2012-01,0.633,
2012-02,0.660,
2012-03,0.698,
2012-04,0.696,
2012-05,0.724,
2012-06,0.730,
2012-07,0.696,
2012-08,0.659,
2012-09,0.688,
2012-10,0.687,
2012-11,0.727,
2012-12,0.683,
2013-01,0.679,
2013-02,0.705,
2013-03,0.721,
2013-04,0.683,
2013-05,0.677,
2013-06,0.689,
2013-07,0.654,
2013-08,0.667,
2013-09,0.673,
2013-10,0.660,
2013-11,0.661,
2013-12,0.620,
2014-01,0.636,
2014-02,0.681,
2014-03,0.707,
2014-04,0.695,
2014-05,0.667,
2014-06,0.663,
2014-07,0.658,
2014-08,0.681,
2014-09,0.701,
2014-10,0.693,
2014-11,0.709,
2014-12,0.686,
