"",BBK01.OEAH90M,BBK01.OEAH90M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:08,
2002-01,0.098,
2002-04,0.140,
2002-07,0.180,
2002-10,0.331,
2003-01,0.313,
2003-04,0.199,
2003-07,0.197,
2003-10,0.197,
2004-01,0.197,
2004-04,0.046,
2004-07,0.004,
2004-10,0.008,
2005-01,0.008,
2005-04,0.006,
2005-07,0.006,
2005-10,0.003,
2006-01,0.003,
2006-04,0.002,
2006-07,0.003,
2006-10,0.003,
2007-01,0.002,
2007-04,0.005,
2007-07,0.061,
2007-10,0.058,
2008-01,0.066,
2008-04,0.114,
2008-07,0.118,
2008-10,0.127,
2009-01,0.153,
2009-04,0.099,
2009-07,0.093,
2009-10,0.089,
2010-01,0.062,
2010-04,0.012,
2010-07,0.012,
2010-10,0.012,
2011-01,0.012,
2011-04,0.017,
2011-07,0.037,
2011-10,0.048,
2012-01,0.045,
2012-04,0.044,
2012-07,0.021,
2012-10,0.012,
2013-01,0.007,
2013-04,0.009,
2013-07,0.009,
2013-10,0.010,
2014-01,0.049,
2014-04,0.050,
2014-07,0.048,
