"",BBK01.OELM05H,BBK01.OELM05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:51,
2002-01,0.060,
2002-04,0.059,
2002-07,0.048,
2002-10,0.042,
2003-01,0.044,
2003-04,0.045,
2003-07,0.035,
2003-10,0.032,
2004-01,0.031,
2004-04,0.029,
2004-07,0.032,
2004-10,0.038,
2005-01,0.039,
2005-04,0.040,
2005-07,0.035,
2005-10,0.047,
2006-01,0.047,
2006-04,0.052,
2006-07,0.052,
2006-10,0.047,
2007-01,0.049,
2007-04,0.047,
2007-07,0.042,
2007-10,0.045,
2008-01,0.036,
2008-04,0.034,
2008-07,0.032,
2008-10,0.032,
2009-01,0.031,
2009-04,0.026,
2009-07,0.034,
2009-10,0.041,
2010-01,0.050,
2010-04,0.063,
2010-07,0.072,
2010-10,0.070,
2011-01,0.084,
2011-04,0.090,
2011-07,0.086,
2011-10,0.086,
2012-01,0.094,
2012-04,0.097,
2012-07,0.102,
2012-10,0.106,
2013-01,0.101,
2013-04,0.095,
2013-07,0.082,
2013-10,0.085,
2014-01,0.079,
2014-04,0.072,
2014-07,0.071,
